Key,English,Traditional_Chinese
PROPITEM_TXT_000001,,
PROPITEM_TXT_000002,Hand,空手
PROPITEM_TXT_000004,Penya,金幣
PROPITEM_TXT_000012,P.K Reward,懸賞金袋子
PROPITEM_TXT_000014,(Practice) Wooden Sword,見習生木劍
PROPITEM_TXT_000016,Wooden Sword,木劍
PROPITEM_TXT_000018,Normal Sword,普通的劍
PROPITEM_TXT_000020,Long Sword,長劍
PROPITEM_TXT_000022,Hand Saw,鋸刃
PROPITEM_TXT_000024,Hand Claw,爪刃
PROPITEM_TXT_000026,Leaf Sword,葉刃
PROPITEM_TXT_000028,Parmil Sword,破滅長劍
PROPITEM_TXT_000030,Penel Sword,珮諾長劍
PROPITEM_TXT_000032,Crimson Sword,柯林斯長劍
PROPITEM_TXT_000034,Flower Sword,花公子長劍
PROPITEM_TXT_000036,Petal Sword,貝塔長劍
PROPITEM_TXT_000038,Star Sword,十字星長劍
PROPITEM_TXT_000040,Blink Sword,布林克長劍
PROPITEM_TXT_000042,Slogger Sword,索羅崗長劍
PROPITEM_TXT_000044,Outlaw Sword,奧西頓長劍
PROPITEM_TXT_000046,Fairlight Sword,珮爾光劍
PROPITEM_TXT_000048,Fairslender Sword,珮爾細劍
PROPITEM_TXT_000050,Turtle Sword,淘特長劍
PROPITEM_TXT_000052,Clip Sword,凱立長劍
PROPITEM_TXT_000054,Oval Sword,奧柏長劍
PROPITEM_TXT_000056,Tao Sword,塔歐長劍
PROPITEM_TXT_000058,Jaim Sword,紫瑩長劍
PROPITEM_TXT_000060,Sepal Sword,賽波長劍
PROPITEM_TXT_000062,Hansel Sword,漢希爾長劍
PROPITEM_TXT_000064,Cyclos Sword,斯魯德長劍
PROPITEM_TXT_000066,Comet Sword,卡米特長劍
PROPITEM_TXT_000068,Invader Sword,因貝德長劍
PROPITEM_TXT_000070,Pricker Sword,普立可長劍
PROPITEM_TXT_000072,Stitch Sword,史替奇長劍
PROPITEM_TXT_000074,Subblade Sword,逤普之劍
PROPITEM_TXT_000076,Multiblade Sword,魔替之劍
PROPITEM_TXT_000078,Bigmas Sword,大馬士劍
PROPITEM_TXT_000080,Panggril Sword,龐克伶劍
PROPITEM_TXT_000082,Savage Sword,賽比長劍
PROPITEM_TXT_000084,Carnage Sword,尼薩長劍
PROPITEM_TXT_000086,Knocker Sword,奈可長劍
PROPITEM_TXT_000088,Janitor Sword,左諾特長劍
PROPITEM_TXT_000090,Blue Shine Sword,藍光之劍
PROPITEM_TXT_000092,Blue Jade Sword,藍影之劍
PROPITEM_TXT_000094,Shyer Sword,莎因長劍
PROPITEM_TXT_000096,Zeroth Sword,潔洛斯長劍
PROPITEM_TXT_000098,Rowbenon Sword,碧德長劍
PROPITEM_TXT_000100,Emeryl Sword,艾魔翎長劍
PROPITEM_TXT_000102,Khaicator Sword,卡特長劍
PROPITEM_TXT_000104,Chainsing Sword,銀狼環長劍
PROPITEM_TXT_000106,Axilow Sword,龍麟長劍
PROPITEM_TXT_000108,Harpion Sword,皮銨長劍
PROPITEM_TXT_000110,Breakest Sword,天山長劍
PROPITEM_TXT_000112,Smiter Sword,瑪斯特長劍
PROPITEM_TXT_000114,Runaicing Sword,魯娜兵劍
PROPITEM_TXT_000116,Shadeving Sword,月魂冰劍
PROPITEM_TXT_000118,Fireise Sword,雷紋之劍
PROPITEM_TXT_000120,Hotter Sword,俠客風之劍
PROPITEM_TXT_000122,Curin Axe,卡臨斧
PROPITEM_TXT_000124,Rodney Axe,羅德尼斧
PROPITEM_TXT_000126,Steel Axe,鋼斧
PROPITEM_TXT_000128,Morrow Axe,摩羅斧
PROPITEM_TXT_000130,Crenil Axe,克雷寧斧
PROPITEM_TXT_000132,Curning Axe,雷格斧
PROPITEM_TXT_000134,Sephir Axe,塞比勒斧
PROPITEM_TXT_000136,Shyadin Axe,薩丁斧
PROPITEM_TXT_000138,Gorn Axe,勾崙斧
PROPITEM_TXT_000140,Bronze Axe,希爾斧
