Key,English,Simplified_Chinese
CLIENT_HELP_INC_000000,Basic Operations,基本操作\n感谢开服汉化组成员:(如果ID被抢注会在下次更新后更正)\n胡图的图\nNO.777\nINT80\nAARONVV\nEureka\nAlive\n南丁格尔\n小牛猫\n林克\n可乐松松\n晨梦初醒\n花前月下\n七的意志\n
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,胖胖下线后这项功能仍会保留，你还可以收到后续的保留功能和教程。
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,如果您通读本节后仍有疑问，请您访问官方网站以及论坛。网址为$WEBSITE$。
CLIENT_HELP_INC_000003,Mouse,鼠标控制
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.",您将在整个游戏中持续使用鼠标。左键单击鼠标最常用于移动、定位和选择菜单选项。右键单击将主要用于控制视角以及访问NPC菜单。所有这些功能都包含在“帮助”菜单中。
CLIENT_HELP_INC_000005,Movement,动作
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.","To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move."
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.",按下空格键使人物跳起。无论站立还是移动状态中都可以跳跃。
CLIENT_HELP_INC_000008,Camera,相机
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.",游戏里有多种方法可以调整相机视角，视角也可固定。如需调整，在开始菜单→设置中找到镜头。你也可以用按住鼠标右键移动来调整到最合适你的镜头视角。
CLIENT_HELP_INC_000010,"Regardless of how you choose to manipulate the camera, the zoom functions will always be the same. You can Zoom in and out with the mouse wheel or the Page Up and Page Down keys. In order to zoom in even further, press the Scroll Lock Button.",你可以滑动滚轮来缩放视野。
CLIENT_HELP_INC_000011,Flying,飞行
CLIENT_HELP_INC_000012,A character that has reached level 20 and has finished the flying quest can take advantage of flying with broom and boards.,人物角色等级达到20级并且完成了飞行任务，就可以驾驶滑板或者扫帚畅游天空了！
CLIENT_HELP_INC_000013,Station NPC's sell a variety of Brooms and Boards. If you feel like you would like to spice up your method of flying you can check the premium shop for faster and more unique items to fly on.,航空站NPC处出售各种各样的滑板和扫帚。如果你想有更炫酷的飞行体验，在付费商城中有独一无二的飞行器供您挑选。
CLIENT_HELP_INC_000014,,
CLIENT_HELP_INC_000015,,
CLIENT_HELP_INC_000016,,
CLIENT_HELP_INC_000017,,
CLIENT_HELP_INC_000018,,
CLIENT_HELP_INC_000019,How do I fly?,我怎样才可以飞行？
CLIENT_HELP_INC_000020,"To fly, simply equip a flying board or broom and then press the Space bar. You will automatically accelerate until your reach your maximum speed. To stop, press the Space bar again.",装备了飞行器后，按下空格键，即可加速飞行至最高速度；再次按下空格，即可减速至停止。
CLIENT_HELP_INC_000021,"You can steer while flying with your mouse or with the W,A,S,D keys.",在飞行中使用键盘W，A，S，D可以控制方向。
CLIENT_HELP_INC_000022,You can buy fuel to increase the speed of your broom or board. Double-click the fuel and press the X key to activate or de-activate the fuel.,你可以购买燃油来加速你的飞行器。双击燃油填充，按X键来加速，再按下X键则取消加速。
CLIENT_HELP_INC_000023,,
CLIENT_HELP_INC_000024,,
CLIENT_HELP_INC_000025,,
CLIENT_HELP_INC_000026,,
CLIENT_HELP_INC_000027,,
CLIENT_HELP_INC_000028,Combat,战斗
CLIENT_HELP_INC_000029,"You will encounter hundreds of hostile masquerpets in the land of Madrigal. Depending on what type of character you build, you will have multiple options on how to attack these villainous monsters. These methods will be explained in more detail here.",在瑞加大陆你会遇见成百上千种攻击性怪物。根据你的职业，你会有多种的攻击方式，这里会向您详细介绍。
CLIENT_HELP_INC_000030,"Along with these masquerpets, you can engage in intense PVP Combat if you have chosen to play on Demian. To attack players on Demian, you must hold down the Ctrl Key and then initiate your attack.",如果您选择在坏蛋迪米上玩，除了这些伪装面具，您还可以进行激烈的 PVP 战斗。要攻击玩家，您必须按住 Ctrl 键然后发起攻击。
CLIENT_HELP_INC_000031,,
CLIENT_HELP_INC_000032,Melee Attack,近战攻击
CLIENT_HELP_INC_000033,"Melee attacks are done with all variations of close combat weapons, this includes swords, axes, staffs, and even knuckle weapons. To engage a enemy in a Melee attack simply equip your weapon, target your enemy, and then click on them.",近战攻击可以使用各种近战武器进行，包括剑、斧、法杖，和拳套。 要在近战攻击中与敌人交战，只需装备你的武器，瞄准你的敌人，然后右键点击他们。
CLIENT_HELP_INC_000034,Ranged Attack,远程攻击
CLIENT_HELP_INC_000035,"Ranged attacks are done with Yo-yos, and bows. To engage an enemy with a ranged attack, equip the appropriate weapon, target the enemy, and then Right Click on the target. Note that Bow require arrows to be used.","Ranged attacks are done with Yo-yos, and bows. To engage an enemy with a ranged attack, equip the appropriate weapon, target the enemy, and then Right Click on the target. Note that Bow require arrows to be used."
CLIENT_HELP_INC_000036,Magic Attack,魔法攻击
CLIENT_HELP_INC_000037,Wands have the unique ability to shoot a charged magic attack. Do this by holding down the Right Mouse button after you have selected your target. Release the button to launch your attack.,魔杖具有独特的攻击能力。选定目标，按住按住右键蓄力，松开即可释放攻击，
CLIENT_HELP_INC_000038,Equipping items,装备物品
CLIENT_HELP_INC_000039,"To equip an item, open your inventory then double-click the item you want to equip. It will then automatically replace the item you currently have equipped in that slot. Double-click on equipped item to unequip it.",要装备物品，请打开您的背包，然后双击要装备的物品。它会自动替换您当前在相应插槽中装备的物品。双击已装备的物品以脱下装备。
CLIENT_HELP_INC_000040,Using Items,使用道具
CLIENT_HELP_INC_000041,You can use an item by double-clicking it. You can also place items in your Extra Bags by simply opening them and then dragging it over. The item drops to the ground if you place the item outside your inventory.,如果你需要使用物品，可以双击物品按钮。如果将物品拖动至背包外，物品将自动掉落在地面。
CLIENT_HELP_INC_000042,You can place an item in the quick task bar located at the bottom of your screen. It is possible to use it instantly with the corresponding Hot Key or by clicking with your Mouse. Right click an item to remove the item from the quick slot.,你可以将物品拖动至快捷栏中，用按键和鼠标点击即可触发。右键快捷栏中的物品即可将其移除。
CLIENT_HELP_INC_000043,,
CLIENT_HELP_INC_000044,Chatting,聊天
CLIENT_HELP_INC_000045,"Pressing enter will toggle the Chat Menu display on if you have closed it for any reason. Once the Chat Menu is open simply press Enter one time to toggle the chat function. Once you have typed your message simply press Enter again to send your message out. You will also see buttons for Whisper, Shout, Party, and Guild. These buttons will filter your message directly to those respective groups. There are also options for filtering your incoming chats, and viewing System Messages.",按下 [回车键] 可以显示聊天窗口，输入任意内容再次按下回车键即可发送内容。你也可以在其中看到“私信”，“呼喊”，“剧团”，“公会”的栏目消息。你也可以使用筛选系统消息和私信。
CLIENT_HELP_INC_000046,NPC Trading,NPC交易
CLIENT_HELP_INC_000047,"To trade with an NPC, left click the NPC and choose Trade.",如需与NPC进行交易，左键点击NPC，选择 [交易]。
CLIENT_HELP_INC_000048,You can purchase an item you want by dragging it into your inventory. The price of the item will show and if you accept the price a confirmation window will pop-up. Accept the confirmation window to finish the transaction.,如果你想购买物品，可以直接将物品拖动至背包中，价格显示窗口会随之弹出，点击同意后，交易自动成功。
CLIENT_HELP_INC_000049,"If you are trying to sell items, just drag the item you want to sell from your inventory, into the NPC trade window.",如果你想出售物品，将你背包中的物品直接丢进NPC的窗口中即可。
CLIENT_HELP_INC_000050,Player Trading,玩家交易
CLIENT_HELP_INC_000051,"If you would like to trade with another player, you can hold down the ALT key and Left Click on the player, or simply Right Click on the player . A menu will appear, select trade, and wait for the other player to approve the trade.",如果你想与另外一位玩家进行交易，按住 [Alt] 键并鼠标左键点击玩家，选择 [交易]，玩家同意后即可开始交易。
CLIENT_HELP_INC_000052,"Once the trade window opens you can drag items or Penya into the window. Make very sure that everything is just how you want it before clicking OK and ACCEPT. Never let anyone BORROW any items as they may not return what you lend them. Make sure you are getting the right items and right amount of Penya before you go through with a trade. All trades are done at your own risk so please be very careful. If you lose something, get the wrong item, or the wrong Penya amount there is nothing that can be done to get the item back. So be careful. If at any time you feel uncomfortable with a trade click the CANCEL button to end the trade.",交易窗口打开后，您可以将物品或金币拖到窗口中。 在单击“确定”和“接受”之前，请确保一切都如您所愿。 切勿让任何人借用任何物品，因为他们可能不会归还您借给他们的物品。 在进行交易之前，请确保您获得了正确的物品和正确数量的金币。 所有交易均由您自行承担风险，因此请务必小心。 如果您丢失了某物、拿错了物品或错误的金币金额，则无法将物品取回。 所以要小心。 如果您在任何时候对交易感到不满意，请单击取消按钮以结束交易。
CLIENT_HELP_INC_000053,Once you put items in a trade window and select OK and ACCEPT the trade will go through and the items you traded for will be in your inventory. If your inventory box is full the trade will be canceled.,一旦您将物品放入交易窗口并选择“确定”和“接受”，交易就会完成，您交易的物品将在您的库存中。 如果您的库存箱已满，交易将被取消。
CLIENT_HELP_INC_000054,Quests,任务
CLIENT_HELP_INC_000055,"NPC's with a Yellow ""!"" above their heads have a Quest you can complete. Select the NPC and then select New Quest. This will show you all of the available quests and the level required to accept the quest.",当你看到NPC 有黄色的叹号“！” 在他们的头顶上，说明有一个你可以完成的任务。 选择NPC，然后选择 新任务。 这将向您显示所有可用的任务以及接受任务所需的级别。
CLIENT_HELP_INC_000056,Complete as many quests as you can as they will give you many rewards along with valuable Exp bonuses!,尽可能多的完成任务，因为它们会给你很多奖励以及宝贵的额外经验！
CLIENT_HELP_INC_000057,Interface,界面
CLIENT_HELP_INC_000058,This Section will detail the various Menus you will be seeing and using while you play.,本节将详细介绍您在玩游戏时将看到和使用的各种菜单。
CLIENT_HELP_INC_000059,Status Menu,状态菜单
CLIENT_HELP_INC_000060,"Press T to toggle this window. This window shows your character's overall status, including HP (Hit Points), MP (Magic Points), FP (Focus Points), and EXP.",您可以通过按“T”按钮来切换窗口。此窗口会提供您的角色整体状态，包括了您的生命值 (HP)，魔法值 (MP)，活力值 (FP)，经验值 (EXP) 和 O泡时间 (BT)。
CLIENT_HELP_INC_000061,"Your total HP increases as you increase STA. The more HP you have, the longer you can survive. MP is required for Magician and Assist skills, and your total MP increases as you increase INT. FP is required for Mercenary and Acrobat skills, and your total FP increases as you increase STA.",您的总生命值随着你的体质 (STA) 增加，您的生命值越多，您存活越久。法力值 (MP) 是魔导士和圣职者技能所必需的。您所有的法力值会随着你的智力 (INT) 增加。技力值 (FP) 是战士近战攻击所必须的，您的总技力值 (FP) 会随着你的体力值 (STA) 增加。
CLIENT_HELP_INC_000062,EXP shows how much experience you need to level up. You gain EXP by defeating monsters and completing quests.,个人经验值 (EXP) 是升级所必要的经验值。个人经验值 (EXP) 只有打怪和完成任务时，才能够获得。O泡时间是一种特殊的状态，可为您提供额外的个人经验值 (EXP)。O泡时间只能通过公会小屋获得，具体请查阅帮助菜单里的公会部分。
CLIENT_HELP_INC_000063,Character Menu,角色菜单
CLIENT_HELP_INC_000064,"This Menu can be toggled with the H Key. It displays important information about the character. The Base Section displays basic information such as character name, job, level, etc... The Detail Section displays the character status according to the currently used equipment and level, and PVP/PK tracks your PVP information.",可以使用 H 键切换此菜单。它显示有关角色的重要信息。基础部分显示角色姓名、职业、等级等基本信息……详情部分根据当前使用的装备和等级显示角色状态，PVP/PK部分则显示您的PVP信息。
CLIENT_HELP_INC_000065,"When you gain levels you will be awarded Stat Points. These can be spent on this Menu. Stat Points are gained as you level up, and you can increase your base abilities.",当您获得等级时，您将获得属性点。这些点可以在这个菜单上使用。 属性点数随着您的等级而增加，并且可以增加您的基础能力。
CLIENT_HELP_INC_000066,"ATK represents your Attack Power, this is how much damage you can deliver to the enemy. DEF represents your Defense, this is how much damage you can absorb from an enemy's attack. Critical means how much chance you have to make a critical attack, and A. Speed shows how fast your character will attack.",攻击力，代表你可以对敌人造成的伤害。 防御，则是你可以从敌人的攻击中吸收多少伤害。暴击率是指你有多少几率进行暴击，而攻击速度表示你的角色攻击的速度。
CLIENT_HELP_INC_000067,"STR affects the attack power of all melee weapons. STA affects defense, max HP, max FP, and HP/FP restoration. DEX affects attack speed, dodge, blocking, critical chance and bow attack power. INT affects maximum MP, MP restoration, magical spell damage and magic defense.",力量影响所有近战武器的攻击力。 体质影响防御、最大HP、最大FP和HP/FP恢复。 敏捷影响攻击速度、闪避、格挡、暴击率和弓箭攻击力。 智力影响最大 MP、MP 恢复、魔法伤害和防御。
CLIENT_HELP_INC_000068,The Fame/Master Tab will display of all the Titles you have earned. Select one of these Titles to show the world what you can accomplish!,声望/大师选项卡将显示您获得的所有头衔。选择其中一个头衔，向世界炫耀您的成就！
CLIENT_HELP_INC_000069,Chat Menu,聊天菜单
CLIENT_HELP_INC_000070,"Press Enter to activate this Menu and then you can type in it. Chat, Whisper, Shout, Party and Guild Chats are possible. You can click the System button to view any system messages that have been displayed.",按 Enter 激活此菜单，然后您就可以输入信息。聊天、密语、大喊、剧团和公会聊天都是可用的。您还可以单击系统按钮查看已显示的任何系统消息。
CLIENT_HELP_INC_000071,"If you want to copy a message and paste it with the Shortcut key then type the message into the chat window, don’t press enter, then drag the balloon mark located on the left side of the chat window to your quick slot.",如果你想复制一条消息并通过快捷键发送它，那么就在聊天窗口中输入消息，不要按回车键，而是将位于聊天窗口左侧的气泡图标拖到你的快捷槽中。
CLIENT_HELP_INC_000072,Navigator,导航系统
CLIENT_HELP_INC_000073,Press the N Button to toggle this Menu. The Navigator is the mini-map located at the upper-right of your screen.,按 N 按钮切换此菜单。导航地图是位于屏幕右上角的小地图。
CLIENT_HELP_INC_000074,"NPC's will appear as purple dots, while other players will appear as white dots. NPC Shops will be displayed with an icon that indicates what shop they are. If you are turning in a quest look for a yellow and black dot. Yellow and orange dots indicate enemy mobs. If you use your mouse to roll over a dot, it will tell you the name of that specific target.",其中，NPC 将显示为紫色圆点，而其他玩家将显示为白色圆点。 NPC 商店将显示一个图标，指示它们是什么商店。如果您正在进行任务，请寻找黄色和黑色的圆点。黄色和橙色点表示敌对生物。如果您将鼠标放在某一个点上，它会告诉您该特定目标的名称。
CLIENT_HELP_INC_000075,There are a few buttons on the Mini-Map to help you as well. You can zoom the mini-map in and out using the + and - icons. The drop down will allow you to filter what appears on your Mini-Map.,小地图上也有一些按钮可以帮助您。您可以使用 + 和 - 图标放大和缩小小地图。下拉菜单则允许您过滤迷你地图上显示的内容。
CLIENT_HELP_INC_000076,Skill Menu,技能菜单
CLIENT_HELP_INC_000077,Toggle this Menu with the K Button. This window displays the skills and skill tree of your character. You can upgrade skills if you have the necessary requirements.,使用 K 按钮切换到此菜单。窗口显示的是角色的技能和技能树。当然，您可以在此升级技能等级。
CLIENT_HELP_INC_000078,"To use skills, drag the skill to the quick slots in the bottom center of the screen and use F1 - F9. Otherwise, drag the skill in the skill window to the Action Slot on the bottom right of the screen and press C.",要使用技能，请将技能拖到屏幕底部中央的快捷栏中，然后使用 F1 - F9。此外，有些技能则需要拖到屏幕右下角的连续技能栏中，然后按 C。
CLIENT_HELP_INC_000079,"Skill points are necessary to level up your skill. Skill points are earned as you level up. Click the skill you want to increase and adjust the skill level with +,- button and click Finish.",技能点是提升技能所必需的。技能点随着您的升级而获得。单击要增加的技能并使用 +、- 按钮调整技能等级，然后单击完成。
CLIENT_HELP_INC_000080,Inventory,背包
CLIENT_HELP_INC_000081,"Your inventory shows you everything you currently have equipped and everything you are carrying. You can store weapons, armor, items, Penya and anything that isn't nailed down inside your inventory. View your inventory by Pressing the I Button.",您的背包会显示您当前配备的所有物品以及您携带的所有物品。您可以存放武器、盔甲、物品、金币 和任何未固定在您的背包中的东西。按 I 键查看您的背包。
CLIENT_HELP_INC_000082,Messenger Menu,好友菜单
CLIENT_HELP_INC_000083,"You can talk to friends and guild mates as well as check their current connection status. It will be updated as you add friends and guild members. To add your friend, hold down ALT and left click the character, then select ‘add to my list’ or click the + icon located below the messenger window. Your Guild list will automatically update as players come and go. There is also a Tab to check you Mentor Pupil Status but that system is outlined later in the Help Guide.",您可以与朋友和公会成员交谈并查看他们当前的连接状态。它将随着您添加朋友和公会成员而更新。要添加朋友，请按住 ALT 并左键单击该角色，然后选择“添加到我的列表”或单击位于信使窗口下方的 + 图标。您的公会列表会随着玩家的来去而自动更新。还有一个选项卡可以检查您的导师和学生状态，但该系统会在稍后的帮助指南中进行讲解。
CLIENT_HELP_INC_000084,Quest Menu,任务菜单
CLIENT_HELP_INC_000085,"By pressing the Q Button, you can check the progress of your current quests and other valuable information about your quests. This Menu is divided into tabs to better help you organize your quests. If you select a quest from the list it will be added to your on screen display to help you better track your progress quickly.",通过按下 Q 按钮，您可以查看当前任务的进度以及有关您的任务的其他有价值的信息。此菜单分为多个选项卡，以更好地帮助您组织任务。如果您从列表中选择一个任务，那么它就会被添加到您的屏幕中，以帮助您更好地快速跟踪进度。
CLIENT_HELP_INC_000086,Emotes Menu,动作菜单
CLIENT_HELP_INC_000087,This window displays emoticons and emotes that you can use to express yourself.,此窗口显示表情符号和动作图标。
