Key,English,Simplified_Chinese
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,医料神官为了治疗受伤的人，委托了搜集制作绷带材料的“咕哝绷带”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,医料神官为了制造绷带，委托了搜集咕哝绷带。
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,矮人族为了制造手电筒，委托了搜集制作手电筒材料的“电光球”。
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,医料神官为了制造麻醉药，委托了搜集麻醉药的材料“毒花触手”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,医料神官为了制造麻醉药，委托了搜集麻醉药的材料“毒花触手”
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,木工所的材料极度缺发，木工所的员工委托了搜集“树精的根”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,你可以从任意一种$QUEST_END_ITEM_MON$身上获取$QUEST_END_ITEM_NAME$。
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,你可以从 $QUEST_END_ITEM_MON$ 身上收集到 $QUEST_END_ITEM_MON$。
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,你可以在北方的桥附近收集到$QUEST_END_ITEM_NAME$。
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,诡异的证件可以在魔导战甲附近寻获喔。
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,彩色野果可以在彩冠翎猫出没的地方搜寻喔！彩色野果是彩冠翎猫爱吃的食物呢～
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,“城镇服务处的文件”可以在米娅娃娃地区寻获喔！
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,你不想收集他们吗？好吧。
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,“$QUEST_END_ITEM_NAME$”的数量不够啦～数量要正确喔！
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,黄宝石的数量不够啦！数量要正确喔。
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,很好。你已经成功完成任务了。
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,做得好！任务完成了
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$很开心任务已经完成了。
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$ 很开心见证到了任务的完成。
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,帮皮姬完成了这么难的任务后，他很开心呢～而且马上又开始搜集其他委托事项了！
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,艾丝的烤肉派对
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,艾丝委托我收集烤肉派对时要用的坚果，请问您要接受这个委托吗？
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,艾丝为了举办烤肉派对，所以请委托中心帮忙收集坚果！
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),未知情况 (1)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,帕里胖胖委托本中心收集“诡异的信件”，您要接受吗？
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,帕里胖胖请委托中心帮忙收集掉落在生命光柱附近的诡异的信件
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,帕里胖胖委托本中心去收集“诡异的证件”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,滑板～飞吧～
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,迪奥为了大量的制造飞行滑板，所以委托本中心去收集“坚硬背壳”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,迪奥为了大量制造滑板而拜托委托中心收集滑板的材料“坚硬背壳”
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,熊娃娃新生活
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,瑞加大陆唯一的孤儿院“遗失的天使”想要准备一些礼物送给院童，因此委托本中心去收集丹丹的娃娃。您要接受吗？
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,孤儿院“遗失的天使”请委托中心收集小熊玩偶
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,法杖的宝石
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,瑞加大陆世界的魔导士协会为了制造新法杖，所以请委托中心去收集紫晶球。您要接受吗？
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,瑞加大陆的魔导士协会为了制造新法杖，特别请委托中心收集紫晶球
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget",饼干制造器
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,巴陵为了制造面包，需要一些饼干制造机的燃料，所以委托本中心去收集“贱狼指甲”。您要接受吗？
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,巴陵需要饼干制造器的燃料，所以请委托中心收集贱狼指甲
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,神秘的魔法笔
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,穆勒为了写一本小说，所以需要一支魔法笔，他委托本中心去收集“塔林根茎”，您要接受吗？
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,穆勒为了写小说，需要用塔林根茎来制作魔法笔。
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,娘娘果浓汤
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,鲁尼想要为哥哥煮一锅彩色野果浓汤，所以请本中心去收集彩色野果。您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,鲁尼需要用彩色野果煮一锅彩色野果浓汤给哥哥喝。
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,开店10周年庆的赠品
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,玛尔琪为了庆祝开店10周年庆，想要准备一些纪念品！因此委托本中心去收集星星石，您要接受任务吗？
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,玛尔琪为了开店10周年庆，需要一些星星石做为赠品。
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,多肯的酿酒日记
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,多肯想要酿新酒，所以请委托本中心去收集新酒的材料“黄金翅膀”，您要接受吗？
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,多肯要用黄金翅膀酿新品酒。
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,甜美的点心－蓝蜜派
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,顽童迪米想要制作美味点心，所以请委托本中心去收集点心材料“蓝蜜”。您要接受吗？
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,顽童迪米需要蓝色蜂蜜制作美味的点心。
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,得到祝福的娃娃
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,孤儿院“遗失的天使”需要一些可以送给院童的礼物，因此委托本中心去收集米娅的娃娃。您要接受吗？
