Key,English,Traditional_Chinese
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,得肯1地區：艾磷胚斯第2區域
PATROL_DESTINATION_000003,Iblis Temple,伊布里斯神殿
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,萊樂安山脈北部挑戰團
PATROL_DESTINATION_000005,Base Camp of the Thieves,盜賊團的大本營
PATROL_DESTINATION_000006,Mars Dungeon,富勒利斯
PATROL_DESTINATION_000007,Altar of Violet,紫羅蘭的祭壇
PATROL_DESTINATION_000008,Depths of the Dorian,多利安深處
PATROL_DESTINATION_000009,Lair of the Okean,奧肯之巢
PATROL_DESTINATION_000010,Date Location,日期 地點
PATROL_DESTINATION_000011,Strange Entrance,奇怪的入口
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,赫爾尼奧斯的失落寶藏
PATROL_DESTINATION_000013,Kaillun Forest,Kaillun Forest
PATROL_DESTINATION_000014,Ankou Asylum,安庫魔域
