Key,English,Portuguese
CLIENT_HELP_INC_000000,Basic Operations,Operações Básicas
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,"Aqui é explicado as funções básicas no jogo, como movimento, voo, combate, equipar itens, coletar itens, abandonar itens no chão, negociação com um NPC, negociação com outros jogadores, etc."
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,"Se quiser mais informações, vá ao website oficial e procure pelo manual e guia do jogo. Se precisar de mais assistência, envie sua dúvida para o atendimento ao consumidor."
CLIENT_HELP_INC_000003,Mouse,Mouse
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.","Seu mouse será usado constantemente durante o jogo. Clicar com o botão esquerdo do mouse será usado mais comumente para movimento, direcionamento e seleção de opções de menu. O botão direito será usado predominantemente para controlar a câmera e acessar o menu NPC quando um NPC for o alvo. Todos esses recursos serão abordados no menu Ajuda."
CLIENT_HELP_INC_000005,Movement,Movimentação
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.","Para mover-se utilizando o teclado, pressione a tecla ""W"" para seguir em frente, a Tecla ""A"" para ir para esquerda, a Tecla ""S"" para ir para trás, e a Tecla ""D"" para ir para a direita. Você também pode clicar com o botão esquerdo no ponto aonde deseja ir."
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.","Para pular, basta pressionar a barra de espaço. Você pode pular de uma posição em repouso ou enquanto se move."
CLIENT_HELP_INC_000008,Camera,Câmera
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.","Você pode controlar a visualização da câmera de muitas maneiras diferentes. Você pode até travar a câmera no lugar. Para fazer isso, acesse o menu Iniciar, selecione Opções e selecione Câmera Fixada. Isso permitirá que você controle a câmera com as teclas A e D. Isso substitui os controles de movimento. Se esta configuração não for confortável para você, você pode simplesmente manter pressionado o botão direito do mouse e mover o mouse."
CLIENT_HELP_INC_000010,"Regardless of how you choose to manipulate the camera, the zoom functions will always be the same. You can Zoom in and out with the mouse wheel or the Page Up and Page Down keys. In order to zoom in even further, press the Scroll Lock Button.","Independentemente de como você opta por controlar a câmera, as funções de zoom serão sempre as mesmas. Você pode aumentar e diminuir o zoom com a roda do mouse ou as teclas Page Up e Page Down. Para aumentar ainda mais o zoom, pressione o botão Scroll Lock."
CLIENT_HELP_INC_000011,Flying,Voando
CLIENT_HELP_INC_000012,A character that has reached level 20 and has finished the flying quest can take advantage of flying with broom and boards.,"Um personagem que atingiu o nível 20 e concluiu a quest para voar pode aproveitar a vantagem de voar com vassouras, pranchas e muitos outros tipos de objetos voadores."
CLIENT_HELP_INC_000013,Station NPC's sell a variety of Brooms and Boards. If you feel like you would like to spice up your method of flying you can check the premium shop for faster and more unique items to fly on.,"Os NPC's que ficam nas estações vendem uma variedade de vassouras e pranchas. Se você sentir que gostaria de aprimorar seu método de voo, você pode verificar a loja premium para itens mais rápidos e exclusivos para voar."
CLIENT_HELP_INC_000014,,
CLIENT_HELP_INC_000015,,
CLIENT_HELP_INC_000016,,
CLIENT_HELP_INC_000017,,
CLIENT_HELP_INC_000018,,
CLIENT_HELP_INC_000019,How do I fly?,Como voar?
CLIENT_HELP_INC_000020,"To fly, simply equip a flying board or broom and then press the Space bar. You will automatically accelerate until your reach your maximum speed. To stop, press the Space bar again.","Para voar, basta equipar um objeto de voo (Pranchas, Vassouras, Asas e etc) e pressionar a Barra de Espaço. Você irá acelerar automaticamente até atingir sua velocidade máxima. Para parar, pressione a Barra de Espaço novamente."
CLIENT_HELP_INC_000021,"You can steer while flying with your mouse or with the W,A,S,D keys.","Você pode pilotar seu objeto de voo enquanto com o mouse ou com as teclas W, A, S, D."
CLIENT_HELP_INC_000022,You can buy fuel to increase the speed of your broom or board. Double-click the fuel and press the X key to activate or de-activate the fuel.,Você pode comprar combustível para aumentar a velocidade de sua vassoura ou prancha. Clique duas vezes no combustível e pressione a tecla X para ativar ou desativar o combustível.
CLIENT_HELP_INC_000023,,
CLIENT_HELP_INC_000024,,
CLIENT_HELP_INC_000025,,
CLIENT_HELP_INC_000026,,
CLIENT_HELP_INC_000027,,
CLIENT_HELP_INC_000028,Combat,Combate
CLIENT_HELP_INC_000029,"You will encounter hundreds of hostile masquerpets in the land of Madrigal. Depending on what type of character you build, you will have multiple options on how to attack these villainous monsters. These methods will be explained in more detail here.","Você encontrará centenas de Masquerpets hostis na terra de Madrigal. Dependendo do tipo de personagem que você criar, você terá várias opções sobre como atacar esses monstros malignos. Esses métodos serão explicados com mais detalhes aqui."
CLIENT_HELP_INC_000030,"Along with these masquerpets, you can engage in intense PVP Combat if you have chosen to play on Demian. To attack players on Demian, you must hold down the Ctrl Key and then initiate your attack.","Junto com esses masquerpets, você pode se envolver em um intenso combate contra outros jogadores (PVP-PK) se você estiver em um servidor PK. Para atacar jogadores, você deve manter pressionada a tecla Ctrl e iniciar o ataque."
CLIENT_HELP_INC_000031,,
CLIENT_HELP_INC_000032,Melee Attack,Ataque Corpo a Corpo
CLIENT_HELP_INC_000033,"Melee attacks are done with all variations of close combat weapons, this includes swords, axes, staffs, and even knuckle weapons. To engage a enemy in a Melee attack simply equip your weapon, target your enemy, and then click on them.","Ataques corpo a corpo são feitos com todas as variações de armas de combate corpo a corpo, incluindo espadas, machados, cajados e até mesmo armas de punho. Para engajar um inimigo em um ataque corpo-a-corpo, basta equipar sua arma, selecionar seu inimigo e clicar sobre ele."
CLIENT_HELP_INC_000034,Ranged Attack,Ataque à Distância
CLIENT_HELP_INC_000035,"Ranged attacks are done with Yo-yos, and bows. To engage an enemy with a ranged attack, equip the appropriate weapon, target the enemy, and then Right Click on the target. Note that Bow require arrows to be used.","Ataques à distância são feitos com ioiôs, arcos e cetros. Para enfrentar um inimigo com um ataque à distância, equipe a arma apropriada, mire no inimigo e clique com o botão esquerdo no alvo. Observe que o arco requer o uso de flechas."
CLIENT_HELP_INC_000036,Magic Attack,Ataque Mágico
CLIENT_HELP_INC_000037,Wands have the unique ability to shoot a charged magic attack. Do this by holding down the Right Mouse button after you have selected your target. Release the button to launch your attack.,Varinhas têm a capacidade única de disparar um ataque mágico carregado. Faça isso mantendo pressionado o botão esquerdo do mouse depois de selecionar seu alvo. Solte o botão para lançar seu ataque.
CLIENT_HELP_INC_000038,Equipping items,Equipando itens
CLIENT_HELP_INC_000039,"To equip an item, open your inventory then double-click the item you want to equip. It will then automatically replace the item you currently have equipped in that slot. Double-click on equipped item to unequip it.","Para equipar um item, abra seu inventário e clique duas vezes no item que deseja equipar. Ele substituirá automaticamente o item atualmente equipado naquele compartimento. Clique duas vezes sobre o item equipado para removê-lo."
CLIENT_HELP_INC_000040,Using Items,Uso de Itens
CLIENT_HELP_INC_000041,You can use an item by double-clicking it. You can also place items in your Extra Bags by simply opening them and then dragging it over. The item drops to the ground if you place the item outside your inventory.,Você pode usar um item clicando duas vezes nele. Você pode descartar um item no chão se você arrastá-lo para fora de seu inventário.
CLIENT_HELP_INC_000042,You can place an item in the quick task bar located at the bottom of your screen. It is possible to use it instantly with the corresponding Hot Key or by clicking with your Mouse. Right click an item to remove the item from the quick slot.,Você pode colocar um item na barra de atalho localizada na parte inferior da tela. É possível usá-lo instantaneamente com a tecla de atalho correspondente ou clicando com o mouse. Clicar em um item com o botão direito do mouse irá removê-lo da barra de atalho.
CLIENT_HELP_INC_000043,,
CLIENT_HELP_INC_000044,Chatting,Chat
CLIENT_HELP_INC_000045,"Pressing enter will toggle the Chat Menu display on if you have closed it for any reason. Once the Chat Menu is open simply press Enter one time to toggle the chat function. Once you have typed your message simply press Enter again to send your message out. You will also see buttons for Whisper, Shout, Party, and Guild. These buttons will filter your message directly to those respective groups. There are also options for filtering your incoming chats, and viewing System Messages.","Pressionar Enter ativará a exibição da janela do Chat se você o fechou por qualquer motivo. Assim que a janela do chat estiver aberto, basta pressionar Enter uma vez para ativar as funções do chat. Depois de digitar sua mensagem, simplesmente pressione Enter novamente para enviá-la. Você também verá botões para Sussurro, Gritar, Grupo e Guilda. Esses botões filtrarão sua mensagem diretamente para os respectivos grupos. Também existem opções para filtrar as mensagens que aparecerão no chat e visualizar Mensagens do Sistema."
CLIENT_HELP_INC_000046,NPC Trading,Negociação com NPC
CLIENT_HELP_INC_000047,"To trade with an NPC, left click the NPC and choose Trade.","Para negociar com um NPC, clique no NPC e escolha “Negociar”."
CLIENT_HELP_INC_000048,You can purchase an item you want by dragging it into your inventory. The price of the item will show and if you accept the price a confirmation window will pop-up. Accept the confirmation window to finish the transaction.,"Você pode comprar um item que deseja arrastando-o para o seu inventário. O preço do item será mostrado e se você aceitar o preço, uma janela de confirmação aparecerá. Aceite a janela de confirmação para finalizar a transação."
CLIENT_HELP_INC_000049,"If you are trying to sell items, just drag the item you want to sell from your inventory, into the NPC trade window.","Se você quiser vender itens, apenas arraste o item que deseja vender do seu inventário para a janela de troca do NPC."
CLIENT_HELP_INC_000050,Player Trading,Negociar com Jogador
CLIENT_HELP_INC_000051,"If you would like to trade with another player, you can hold down the ALT key and Left Click on the player, or simply Right Click on the player . A menu will appear, select trade, and wait for the other player to approve the trade.","Se você gostaria de negociar com outro jogador, você pode manter pressionada a tecla ALT e clicar com o botão esquerdo no jogador, ou simplesmente clicar com o botão direito no jogador para abrir o menu. Selecione a opção NEGOCIAR e espere o outro jogador aceitar."
CLIENT_HELP_INC_000052,"Once the trade window opens you can drag items or Penya into the window. Make very sure that everything is just how you want it before clicking OK and ACCEPT. Never let anyone BORROW any items as they may not return what you lend them. Make sure you are getting the right items and right amount of Penya before you go through with a trade. All trades are done at your own risk so please be very careful. If you lose something, get the wrong item, or the wrong Penya amount there is nothing that can be done to get the item back. So be careful. If at any time you feel uncomfortable with a trade click the CANCEL button to end the trade.","Assim que a janela de negociação abrir, você pode arrastar itens ou Penyas para a janela. Certifique-se de que tudo está como você deseja antes de clicar em OK e ACEITAR. Nunca EMPRESTE nenhum item para alguém que não seja de sua confiança, pois podem não devolver o que você emprestou. Certifique-se de obter os itens certos e a quantidade certa de Penya antes de prosseguir com a negociação. Todas as negociações são feitas por sua própria conta e risco, portanto, tenha muito cuidado. Se você perder algo, pegar o item errado ou a quantidade de Penya errada, não há nada que possa ser feito para obter o item de volta. Por isso tenha cuidado. Se a qualquer momento você se sentir desconfortável com uma negociação, clique no botão CANCELAR para encerrar a negociação."
CLIENT_HELP_INC_000053,Once you put items in a trade window and select OK and ACCEPT the trade will go through and the items you traded for will be in your inventory. If your inventory box is full the trade will be canceled.,"Uma vez que você coloca itens na janela de negociação e seleciona OK e ACEITAR o negócio irá prosseguir e os itens pelos quais negociou estarão no seu inventário. Se sua caixa de inventário estiver cheia, a negociação será cancelada."
CLIENT_HELP_INC_000054,Quests,Quest
CLIENT_HELP_INC_000055,"NPC's with a Yellow ""!"" above their heads have a Quest you can complete. Select the NPC and then select New Quest. This will show you all of the available quests and the level required to accept the quest.","Os NPC'S com ""!"" Amarela acima de suas cabeças possuem Quests (Missões) que você pode completar. Selecione o NPC e então selecione Nova Quest. Isso irá mostrar para você todas as missões disponíveis e o nível requerido para aceitar a missão."
CLIENT_HELP_INC_000056,Complete as many quests as you can as they will give you many rewards along with valuable Exp bonuses!,"Complete o máximo de Quests que puder, pois elas lhe darão muitas recompensas, juntamente com valiosos bônus de EXP!"
CLIENT_HELP_INC_000057,Interface,Interface
CLIENT_HELP_INC_000058,This Section will detail the various Menus you will be seeing and using while you play.,Essa sessão irá detalhar vários Menus que você verá e usará enquanto joga.
CLIENT_HELP_INC_000059,Status Menu,Janela de Status (H)
CLIENT_HELP_INC_000060,"Press T to toggle this window. This window shows your character's overall status, including HP (Hit Points), MP (Magic Points), FP (Focus Points), and EXP.","Esta janela lhe dará o status geral do seu personagem. Inclui seus pontos de HP (Pontos de Vida), Pontos de Mana, Pontos de Foco (FP), Experiência e Tempo de Bubble. À medida que um personagem aumenta de nível, seus HP, MP e FP também aumentarão. Você pode ativar e desativar a exibição desta janela pressionando o botão T."
CLIENT_HELP_INC_000061,"Your total HP increases as you increase STA. The more HP you have, the longer you can survive. MP is required for Magician and Assist skills, and your total MP increases as you increase INT. FP is required for Mercenary and Acrobat skills, and your total FP increases as you increase STA.","O seu HP total aumenta conforme você aumenta pontos em VIG, quanto maior for o seu HP, mais você sobreviverá. MP é necessário para utilizar as habilidades de Magos e Assists. Seu MP total aumenta conforme você aumenta pontos em INT. FP é necessário para habilidades de Mercenários e Acrobatas, o seu FP total aumenta conforme você aumenta pontos em VIG."
CLIENT_HELP_INC_000062,EXP shows how much experience you need to level up. You gain EXP by defeating monsters and completing quests.,EXP anota a quantidade necessária de experiência necessária para subir de nível. EXP é obtido caçando monstros e completando missões. Tempo de Bubble é um Buff especial que lhe dá EXP bônus. Isso é preenchido por meio do Quartel da Guilda e é explicado logo abaixo na seção do Menu de Ajuda.
CLIENT_HELP_INC_000063,Character Menu,Janela de Personagem
CLIENT_HELP_INC_000064,"This Menu can be toggled with the H Key. It displays important information about the character. The Base Section displays basic information such as character name, job, level, etc... The Detail Section displays the character status according to the currently used equipment and level, and PVP/PK tracks your PVP information.","Esta janela pode ser exibida com a tecla H. Aqui é exibido informações importantes sobre o seu personagem. A Seção de Base exibe informações básicas como nome do personagem, classe, nível, etc... A Seção de Detalhes exibe o status do personagem de acordo com o equipamento em uso e o nível atual, e PVP/PK rastreia suas informações de PVP."
CLIENT_HELP_INC_000065,"When you gain levels you will be awarded Stat Points. These can be spent on this Menu. Stat Points are gained as you level up, and you can increase your base abilities.","Ao ganhar níveis, você receberá Pontos de Atributos. Estes podem ser gastos nesta Janela. Os pontos de atributos são adquiridos conforme você sobe de nível e com eles você pode distribuir nas características que você deseja para o seu personagem (FOR, VIG, DES e INT)."
CLIENT_HELP_INC_000066,"ATK represents your Attack Power, this is how much damage you can deliver to the enemy. DEF represents your Defense, this is how much damage you can absorb from an enemy's attack. Critical means how much chance you have to make a critical attack, and A. Speed shows how fast your character will attack.","Ataque (ATQ) representa seu Poder de Ataque, isto é, quanto dano você pode causar ao inimigo. DEF representa sua Defesa, isto é, quanto dano você pode absorver do ataque de um inimigo. Acerto Crítico significa quanta chance você tem de fazer um ataque crítico, e Vel. Ataque mostra o quão rápido seu personagem irá atacar."
CLIENT_HELP_INC_000067,"STR affects the attack power of all melee weapons. STA affects defense, max HP, max FP, and HP/FP restoration. DEX affects attack speed, dodge, blocking, critical chance and bow attack power. INT affects maximum MP, MP restoration, magical spell damage and magic defense.","FOR afeta o poder de ataque de todas as armas corpo a corpo. VIG afeta a defesa, HP máximo, FP máximo e restauração de HP/FP. DES afeta a velocidade de ataque, esquiva, bloqueio, acerto crítico e poder de ataque do arco. INT afeta o MP máximo, restauração de MP, dano de feitiço mágico e defesa mágica."
CLIENT_HELP_INC_000068,The Fame/Master Tab will display of all the Titles you have earned. Select one of these Titles to show the world what you can accomplish!,A guia Fama/Mestre exibirá todos os títulos que você conquistou. Selecione um desses títulos para mostrar ao mundo o que você pôde realizar!
CLIENT_HELP_INC_000069,Chat Menu,Janela de Chat
CLIENT_HELP_INC_000070,"Press Enter to activate this Menu and then you can type in it. Chat, Whisper, Shout, Party and Guild Chats are possible. You can click the System button to view any system messages that have been displayed.","Pressione Enter para ativar esta Janela e então você pode digitar nele. Você pode escolher entre Chat geral, Sussurro, Gritar, Grupo e Chat da Guilda. Clique no botão Sistema para ver as mensagens do sistema que foram exibidas."
CLIENT_HELP_INC_000071,"If you want to copy a message and paste it with the Shortcut key then type the message into the chat window, don’t press enter, then drag the balloon mark located on the left side of the chat window to your quick slot.","Se você deseja copiar uma mensagem e mantê-la em uma tecla de atalho, digite a mensagem na janela do chat e antes de pressionar Enter arraste a marca do balão localizada ao lado esquerdo da janela do chat para algum local disponível em sua barra de atalho."
CLIENT_HELP_INC_000072,Navigator,Navegador (N)
CLIENT_HELP_INC_000073,Press the N Button to toggle this Menu. The Navigator is the mini-map located at the upper-right of your screen.,"O Navegador é o mini-mapa localizado na parte superior direita da tela. Ele mostrará Masquerpets, localização de jogadores próximos e NPC's. Pressione N para exibir/ocultar."
CLIENT_HELP_INC_000074,"NPC's will appear as purple dots, while other players will appear as white dots. NPC Shops will be displayed with an icon that indicates what shop they are. If you are turning in a quest look for a yellow and black dot. Yellow and orange dots indicate enemy mobs. If you use your mouse to roll over a dot, it will tell you the name of that specific target.","Os NPC's aparecerão como pontos roxos, enquanto outros jogadores aparecerão como pontos brancos. As Lojas NPC serão exibidas com um ícone indicando que loja elas são. Se você estiver entregando uma quest, procure um ponto amarelo e preto. Pontos amarelos e laranjas indicam monstros inimigos. Se você colocar o ponteiro do mouse sobre um ponto, ele exibirá o nome daquele alvo específico."
CLIENT_HELP_INC_000075,There are a few buttons on the Mini-Map to help you as well. You can zoom the mini-map in and out using the + and - icons. The drop down will allow you to filter what appears on your Mini-Map.,Existem alguns botões no Minimapa para ajudá-lo também. Você pode ampliar e reduzir o mini-mapa usando os ícones + e -. A lista suspensa permitirá que você filtre o que aparece em seu Mini-mapa.
CLIENT_HELP_INC_000076,Skill Menu,Janela de Habilidades
CLIENT_HELP_INC_000077,Toggle this Menu with the K Button. This window displays the skills and skill tree of your character. You can upgrade skills if you have the necessary requirements.,Esta janela exibe as habilidades e a árvore de habilidades de seu personagem. Você pode melhorar suas habilidades se tiver os requisitos necessários. Para exibir/ocultar use a tecla K.
CLIENT_HELP_INC_000078,"To use skills, drag the skill to the quick slots in the bottom center of the screen and use F1 - F9. Otherwise, drag the skill in the skill window to the Action Slot on the bottom right of the screen and press C.","Para usar habilidades, arraste a habilidade para a barra de atalho na parte central inferior da tela. Caso contrário, arraste a habilidade na janela de habilidades para o Action Slot na parte inferior direita da tela e pressione C."
CLIENT_HELP_INC_000079,"Skill points are necessary to level up your skill. Skill points are earned as you level up. Click the skill you want to increase and adjust the skill level with +,- button and click Finish.",Os pontos de habilidade são necessários para aumentar o nível de sua habilidade. Os pontos de habilidade são ganhos conforme você sobe de nível. Clique na habilidade que deseja melhorar e ajuste o nível de habilidade com os botões de (+) e (-) depois clique em Concluir.
CLIENT_HELP_INC_000080,Inventory,Inventário (I)
CLIENT_HELP_INC_000081,"Your inventory shows you everything you currently have equipped and everything you are carrying. You can store weapons, armor, items, Penya and anything that isn't nailed down inside your inventory. View your inventory by Pressing the I Button.","Seu inventário mostra tudo o que você equipou atualmente e tudo o que está carregando. Você pode armazenar armas, armaduras, itens, Penya e qualquer coisa que não esteja pregada em seu inventário. Visualize seu inventário pressionando o Botão I. Pressionando B abre uma segunda via do seu inventário."
CLIENT_HELP_INC_000082,Messenger Menu,Mensageiro (E)
CLIENT_HELP_INC_000083,"You can talk to friends and guild mates as well as check their current connection status. It will be updated as you add friends and guild members. To add your friend, hold down ALT and left click the character, then select ‘add to my list’ or click the + icon located below the messenger window. Your Guild list will automatically update as players come and go. There is also a Tab to check you Mentor Pupil Status but that system is outlined later in the Help Guide.","Converse com Amigos e Guildas, bem como verifique o status da conexão atual deles. Para adicionar seu amigo, mantenha pressionada a tecla ALT e clique com o botão esquerdo no jogador, em seguida, selecione ‘adicionar amigo’ ou clique no ícone (+) localizado abaixo da janela de amigos. Todas as listas nesse setor serão atualizados automaticamente conforme os jogadores entram e saem. Há também uma guia para verificar o status da relação Aluno / Mentor, mas esse sistema é descrito posteriormente no Guia de Ajuda."
CLIENT_HELP_INC_000084,Quest Menu,Janela de Quests (Q)
CLIENT_HELP_INC_000085,"By pressing the Q Button, you can check the progress of your current quests and other valuable information about your quests. This Menu is divided into tabs to better help you organize your quests. If you select a quest from the list it will be added to your on screen display to help you better track your progress quickly.","Ao pressionar o botão Q, você pode verificar o progresso de suas quests atuais e outras informações valiosas sobre suas quests. Esta janela é dividida em guias para melhor ajudá-lo a organizar suas quests. Se você selecionar uma quest da lista, ela será adicionada à sua exibição na tela para ajudá-lo a controlar melhor seu progresso rapidamente."
CLIENT_HELP_INC_000086,Emotes Menu,Janela de Emoticons (O)
CLIENT_HELP_INC_000087,This window displays emoticons and emotes that you can use to express yourself.,"Esta janela exibe vários Emoticons. Você pode ativá-lo pressionando a tecla (O). Para usar Emoticons, clique duas vezes neles ou os coloque nas Barras de atalho."
CLIENT_HELP_INC_000088,You can open this Menu by pressing O. You can left click the icon to use it instantly or drag it the shortcut window and use it later.,Você pode clicar duas vezes com o botão esquerdo no ícone para usá-lo instantaneamente ou arrastá-lo para a barra de atalho e usá-lo em uma tecla caso esteja com um teclado ou controle.
CLIENT_HELP_INC_000089,,
CLIENT_HELP_INC_000090,Party Menu,Janela de Grupo
CLIENT_HELP_INC_000091,"This window manages your party. There are basic parties and advanced parties. Basic parties are groups that you share exp and items with, while an advanced party uses various party skills. When a basic party reaches level 10 you can change it to an advanced party and use party skills.","Esta janela gerencia seu Grupo. Existem grupos Básicos e grupos Avançados. Grupos básicos são os grupos com os quais você compartilha experiência e itens. Quando um grupo básico atinge o nível 10, você pode alterá-lo para um grupo avançado. Um grupo avançado é a evolução do grupo básico e nele há várias habilidades de grupo que auxiliarão sua equipe."
CLIENT_HELP_INC_000092,Guild Menu,Janela de Guilda (G)
CLIENT_HELP_INC_000093,"A Guild is a bigger community than a party and anyone level 40 or higher can create one. You have to complete the quest from NPC Helena to make a guild. The Info tab shows general information and notices, the member tab allows you to manage guild members, the title tab shows titles and allows you to pay members, and the duel tab shows info on your guild duels.","Uma Guilda é uma comunidade maior que um grupo e qualquer personagem com nível 40 ou superior pode criar uma. Para criar uma guilda você precisará completar uma quest oferecida pela NPC Helena. A guia de Informações mostra informações gerais e avisos, a guia de membros permite que você gerencie os membros da guilda, a guia de título mostra títulos e permite que você pague seus membros, e a guia duelo mostra informações sobre seus duelos de guilda."
CLIENT_HELP_INC_000094,Options Tab,Janela de Opções
CLIENT_HELP_INC_000095,This window configures the basic details and options for the Game and can be found in the Start Tab. There are many settings here and they have been separated into two Tabs: Video and Game / Audio.,"Esta janela configura todos detalhes básicos e avançados do Jogo e pode ser encontrada na aba Iniciar. Existem muitas configurações aqui, esteja ciente de ajustar de acordo com a capacidade desempenho do seu dispositivo."
CLIENT_HELP_INC_000096,Video,Gráficos
CLIENT_HELP_INC_000097,This window is for video settings. If you set the options to their highest settings you may encounter some additional lag. You will also see other settings for various visual elements.,"Esta janela é para configurações de vídeo. Se você definir as opções com as configurações mais altas poderá ter que lidar com lags. Você verá configurações para elementos visuais, texturas, sombras, distância de visualização, resoluções, framerate (FPS), entre várias outras."
CLIENT_HELP_INC_000098,Game / Audio,Jogo / Áudio
CLIENT_HELP_INC_000099,"From this tab you can allow or block Trades, Whispers, Friend Requests, Duel Requests, Party Requests, along with numerous other options. You can also control the audio levels and Battle Music.","Permitirá a definição de opções de comunicação. Nessa guia, você pode permitir ou bloquear pedidos de Negociações, Sussurros, Pedidos de Amizade, Pedidos de Duelo, Pedidos de Grupo, junto com várias outras opções. Você também pode controlar os níveis de áudio e Música."
CLIENT_HELP_INC_000100,Helper Tab,Janela de Ajuda
CLIENT_HELP_INC_000101,Selecting the Help Tab from the Start Menu will open various help texts. You can find all forms of helpful things in this area.,Selecionando a guia de Ajuda no menu Iniciar abrirá vários textos de ajuda. Você pode encontrar todas as formas de coisas úteis nesta área.
CLIENT_HELP_INC_000102,Help,Ajuda
CLIENT_HELP_INC_000103,This selection includes the Helper Tree you are currently looking at. There are numerous topics here that are described in detail to help give you a better understanding of the game.,Esta seção inclui a Árvore de Ajuda que você está vendo neste momento. Existem vários tópicos aqui que são descritos em detalhes para ajudá-lo a compreender melhor o jogo.
CLIENT_HELP_INC_000104,Tips,Dicas
CLIENT_HELP_INC_000105,This selection contains tips that help with game play and other things that are easily overlooked.,Esta seção contém dicas que ajudam no jogo e outras coisas que são facilmente esquecidas.
CLIENT_HELP_INC_000106,FAQ,Perguntas Frequentes
CLIENT_HELP_INC_000107,This is the FAQ window. When you have questions you should start here as there are numerous answers to various questions.,"Esta é a janela de perguntas frequentes. Quando você tiver dúvidas, deve começar aqui, pois há inúmeras respostas para várias perguntas."
CLIENT_HELP_INC_000108,Information Tab,Aba de Informação
CLIENT_HELP_INC_000109,This tab will give you access to the In-Game notice. Various information and major news will be listed here from time to time. This notice is also displayed by default when the game launches.,Esta guia lhe dará acesso ao aviso dentro do jogo. Várias informações e notícias importantes serão listadas aqui de tempos em tempos. Este aviso também é exibido por padrão quando o jogo é iniciado.
CLIENT_HELP_INC_000110,Revive Menu,Janela de ressurreição
CLIENT_HELP_INC_000111,"This window opens when your HP reaches 0. There are three options, 'Lodestar' which allows you to revive from the nearest town. If you have a 'Scroll of Resurrection' you can revive from the spot with the 'Original Place' option. You can also visit the Cash item shop through this menu.","Esta janela abre quando seu HP chega a 0. Existem três opções, 'Ressurgir', que permite a você reviver da cidade mais próxima, 'Lodelight' que permite a você reviver no campo lodelight em que você marcou. Se você tiver um Pergaminho da Ressurreição, você pode reviver no mesmo local com a opção 'Lugar Atual'. Você também pode visitar a loja de itens Premium através deste menu."
