Key,English,Thai
CLIENT_HELP_INC_000000,Basic Operations,วิธีเบื้องต้น
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,ส่วนนี้จะดำเนินต่อไปเมื่อ Info-Pang ที่ยังเหลืออยู่ คุณสามารถคาดหวังคำอธิบายเชิงลึกเพิ่มเติมเกี่ยวกับกลไกของเกมและคุณสมบัติพิเศษบางอย่างได้
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,ในกรณีที่คุณอ่านรายละเอียดส่วนนี้และคุณยังคงมีคำถามอยู่ รบกวนสอบถามเพิ่มเติมที่ $WEBSITE$
CLIENT_HELP_INC_000003,Mouse,เม้าส์
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.",เมาส์ของคุณจะถูกใช้อย่างต่อเนื่องตลอดการเล่นเกม การคลิกซ้ายเมาส์จะถูกใช้โดยทั่วไป สำหรับการเคลื่อนไหวการกำหนดเป้าหมายและการเลือกตัวเลือกเมนู คลิกขวาจะถูกใช้เป็นส่วนใหญ่ในการควบคุมมุมกล้องและเข้าใช้เมนู NPC เมื่อ NPC กำหนดเป้าหมาย คุณลักษณะทั้งหมดเหล่านี้จะครอบคลุมในเมนูวิธีใช้
CLIENT_HELP_INC_000005,Movement,เคลื่อนที่
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.","หากต้องการเคลื่อนย้ายโดยใช้คีย์บอร์ดให้กดปุ่ม ""W"" เพื่อเดินหน้าต่อไป, ปุ่ม ""A"" เพื่อไปทางซ้าย, ปุ่ม ""S"" เพื่อย้อนกลับและปุ่ม ""D"" ไปทางขวา คุณและคลิกมาส์ซ้ายเพื่อย้าย"
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.",เมื่อต้องการกระโดดเพียงกด SPACEBAR คุณสามารถกระโดดได้ทั้งจากตำแหน่งที่ยืนหรือขณะเคลื่อนที่
CLIENT_HELP_INC_000008,Camera,มุมกล้อง
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.",คุณสามารถควบคุมมุมกล้องได้หลากหลายรูปแบบ คุณยังสามารถล็อคมุมกล้องให้เข้าที่ ในขั้นตอนนี้ให้ไปที่ Start Menu เลือก Option จากนั้นให้เปิดใช้งาน มุมกล้อง Fix ซึ่งจะช่วยให้คุณควบคุมมุมกล้องด้วยปุ่ม A และ D การควบคุมนี้จะลบล้างการควบคุมการเคลื่อนไหว หากการตั้งค่านี้ไม่สะดวกสบายคุณสามารถกดปุ่มเมาส์ขวาและเลื่อนเมาส์ได้
CLIENT_HELP_INC_000010,"Regardless of how you choose to manipulate the camera, the zoom functions will always be the same. You can Zoom in and out with the mouse wheel or the Page Up and Page Down keys. In order to zoom in even further, press the Scroll Lock Button.",ไม่ว่าคุณจะเลือกใช้มุมกล้องอย่างไรฟังก์ชันซูมจะเหมือนกันเสมอไป คุณสามารถซูมเข้าและออกด้วยล้อเลื่อนของเมาส์หรือปุ่ม Page Up and Page Down เพื่อที่จะซูมเข้าออกให้มากยิ่งขึ้นให้กดปุ่ม Scroll Lock
CLIENT_HELP_INC_000011,Flying,การบิน
CLIENT_HELP_INC_000012,A character that has reached level 20 and has finished the flying quest can take advantage of flying with broom and boards.,ตัวละครที่ถึงเลเวล 20 และทำเควสบินเสร็จสิ้น สามารถใช้ประโยชน์จากการบินด้วยไม้กวาดและ บอร์ด
CLIENT_HELP_INC_000013,Station NPC's sell a variety of Brooms and Boards. If you feel like you would like to spice up your method of flying you can check the premium shop for faster and more unique items to fly on.,NPC ขายไม้กวาดและบอร์ดต่างๆ ถ้าคุณรู้สึกว่าคุณต้องการเพิ่มวิธีการบินของคุณ คุณสามารถตรวจสอบร้านค้าพรีเมี่ยมสำหรับรายการที่เร็วและไม่เหมือนใครที่จะบินต่อไป
CLIENT_HELP_INC_000014,,
CLIENT_HELP_INC_000015,,
CLIENT_HELP_INC_000016,,
CLIENT_HELP_INC_000017,,
CLIENT_HELP_INC_000018,,
CLIENT_HELP_INC_000019,How do I fly?,ฉันจะบินได้อย่างไร?
CLIENT_HELP_INC_000020,"To fly, simply equip a flying board or broom and then press the Space bar. You will automatically accelerate until your reach your maximum speed. To stop, press the Space bar again.",ในการบินเพียงคุณมีบอร์ดหรือไม้กวาดและกด Spacebar คุณจะเร่งโดยอัตโนมัติจนกว่าจะถึงความเร็วสูงสุดของคุณ หากต้องการหยุดให้กด Spacebar อีกครั้ง
CLIENT_HELP_INC_000021,"You can steer while flying with your mouse or with the W,A,S,D keys.","คุณสามารถควบคุมขณะบินด้วยเมาส์หรือด้วยปุ่ม W, A, S, D"
CLIENT_HELP_INC_000022,You can buy fuel to increase the speed of your broom or board. Double-click the fuel and press the X key to activate or de-activate the fuel.,คุณสามารถซื้อน้ำมันเชื้อเพลิงเพื่อเพิ่มความเร็วของไม้กวาดหรือบอร์ดของคุณ ดับเบิลคลิกเชื้อเพลิงและกดปุ่ม X เพื่อเปิดหรือปิดใช้งานเชื้อเพลิง
CLIENT_HELP_INC_000023,,
CLIENT_HELP_INC_000024,,
CLIENT_HELP_INC_000025,,
CLIENT_HELP_INC_000026,,
CLIENT_HELP_INC_000027,,
CLIENT_HELP_INC_000028,Combat,การต่อสู้
CLIENT_HELP_INC_000029,"You will encounter hundreds of hostile masquerpets in the land of Madrigal. Depending on what type of character you build, you will have multiple options on how to attack these villainous monsters. These methods will be explained in more detail here.",คุณจะพบกับ masquerpets ไม่เป็นมิตรนับร้อยในดินแดนของ Madrigal ขึ้นอยู่กับชนิดของตัวละครที่คุณสร้าง คุณจะมีหลายตัวเลือกในการโจมตีเหล่ามอนสเตอร์ วิธีการเหล่านี้จะอธิบายในรายละเอียดเพิ่มเติมที่นี่
