Key,English,Polish
CLIENT_HELP_INC_000000,Basic Operations,Podstawowe Działania
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,Ta sekcja będzie kontynuowana w przypadku zakończenia szkolenia Info-Panga. Możesz spodziewać się dogłębniejszego wyjaśnienia mechaniki gry i kilku unikalnych funkcji.
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,"Jeśli przeczytałeś tę sekcję i nadal masz pytania, powinieneś odwiedzić oficjalną Stronę Internetową i Forum. Można je znaleźć na stronie $WEBSITE$"
CLIENT_HELP_INC_000003,Mouse,Myszka
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.","W trakcie gry będziesz stale używać myszki. Klikając lewym przyciskiem będziesz poruszać postacią, oznaczać obiekty i dokonywać wyborów w panelu Menu głównego. Prawym przyciskiem myszy będziesz sterować kamerą, jak również uzyskasz dostęp do Menu poszczególnych NPC po ich wcześniejszym oznaczeniu. Wszystkie te funkcje zostaną szczegółowo omówione w zakładce Pomoc w Menu głównym."
CLIENT_HELP_INC_000005,Movement,Ruch
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.","Aby poruszać się za pomocą Klawiatury, wciśnij klawisz ""W"" by poruszać się do przodu, klawisz ""A"" by iść w lewo, klawisz ""S"" by poruszać się do tyłu, oraz klawisz ""D"" by iść w prawo. Możesz również się poruszać za pomocą lewego przycisku myszy."
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.","By podskoczyć, wciśnij spację. Możesz skakać w pozycji stojącej albo poruszając się."
CLIENT_HELP_INC_000008,Camera,Kamera
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.","Możesz kontrolować widok kamery w różny sposób. Możesz nawet zablokować kamerę w miejscu. Żeby to zrobić przejdź do Menu Startu, zaznacz opcję Stała Kamera. Pozwoli Ci, na kontrolowanie kamery za pomocą przycisków A oraz D. Jeśli taki układ Ci nie pasuje możesz po prostu przytrzymać prawy przycisk myszki poruszając nią."
CLIENT_HELP_INC_000010,"Regardless of how you choose to manipulate the camera, the zoom functions will always be the same. You can Zoom in and out with the mouse wheel or the Page Up and Page Down keys. In order to zoom in even further, press the Scroll Lock Button.","Bez względu na to jak chcesz poruszać kamerą, funkcja przybliżenia zawsze będzie działać tak samo. Możesz przybliżać oraz oddalać kamerę za pomocą kółka myszki lub za pomocą klawiszy Page Up oraz Page Down. W celu oddalenia kamery jeszcze bardziej wciśnij klawisz Scroll Lock."
CLIENT_HELP_INC_000011,Flying,Latanie
CLIENT_HELP_INC_000012,A character that has reached level 20 and has finished the flying quest can take advantage of flying with broom and boards.,"Postać która osiągnęła poziom 20 oraz zakończyła zadanie związanie z lataniem, może korzystać z mioteł i desek."
CLIENT_HELP_INC_000013,Station NPC's sell a variety of Brooms and Boards. If you feel like you would like to spice up your method of flying you can check the premium shop for faster and more unique items to fly on.,"NPC oznaczone jako [Stacja], sprzedają różne rodzaje mioteł i desek. Jeśli czujesz potrzebę urozmaicenia swojego latania możesz sprawdzić sklep premium gdzie znajdziesz szybsze i uniwersalniejsze przedmioty na których można latać."
CLIENT_HELP_INC_000014,,
CLIENT_HELP_INC_000015,,
CLIENT_HELP_INC_000016,,
CLIENT_HELP_INC_000017,,
CLIENT_HELP_INC_000018,,
CLIENT_HELP_INC_000019,How do I fly?,Jak latać?
CLIENT_HELP_INC_000020,"To fly, simply equip a flying board or broom and then press the Space bar. You will automatically accelerate until your reach your maximum speed. To stop, press the Space bar again.","Aby latać, po prostu użyj latającej deski lub miotły, a następnie naciśnij spację. Będziesz automatycznie przyspieszać, aż osiągniesz maksymalną prędkość. Aby zatrzymać, ponownie naciśnij spację."
CLIENT_HELP_INC_000021,"You can steer while flying with your mouse or with the W,A,S,D keys.","Możesz sterować podczas lotu za pomocą myszy lub klawiszy W,A,S,D."
CLIENT_HELP_INC_000022,You can buy fuel to increase the speed of your broom or board. Double-click the fuel and press the X key to activate or de-activate the fuel.,"Możesz kupić paliwo, aby zwiększyć prędkość swojej miotły lub deski. Kliknij dwukrotnie paliwo i naciśnij klawisz X, aby aktywować lub dezaktywować paliwo."
CLIENT_HELP_INC_000023,,
CLIENT_HELP_INC_000024,,
CLIENT_HELP_INC_000025,,
CLIENT_HELP_INC_000026,,
CLIENT_HELP_INC_000027,,
CLIENT_HELP_INC_000028,Combat,Walka
CLIENT_HELP_INC_000029,"You will encounter hundreds of hostile masquerpets in the land of Madrigal. Depending on what type of character you build, you will have multiple options on how to attack these villainous monsters. These methods will be explained in more detail here.","W świecie Madrigal napotkasz setki wrogich potworów. W zależności od typu postaci, jaką zbudujesz, będziesz mieć wiele opcji, jak zaatakować te nikczemne potwory. Metody zostaną wyjaśnione bardziej szczegółowo tutaj."
CLIENT_HELP_INC_000030,"Along with these masquerpets, you can engage in intense PVP Combat if you have chosen to play on Demian. To attack players on Demian, you must hold down the Ctrl Key and then initiate your attack.","Wraz ze zwierzętami maskaradowymi, możesz wziąć udział w intensywnej walce PVP, jeśli zdecydowałeś się grać na Demian. Aby zaatakować graczy na Demian, musisz przycisnąć klawisz Ctrl, a następnie rozpocząć swój atak."
CLIENT_HELP_INC_000031,,
CLIENT_HELP_INC_000032,Melee Attack,Atak wręcz
CLIENT_HELP_INC_000033,"Melee attacks are done with all variations of close combat weapons, this includes swords, axes, staffs, and even knuckle weapons. To engage a enemy in a Melee attack simply equip your weapon, target your enemy, and then click on them.","Ataki w zwarciu są wykonywane wszystkimi odmianami broni do walki wręcz, w tym mieczami, toporami, kijami, a nawet kastetami. Aby zaatakować wroga w ataku wręcz, po prostu wyposaż się w broń, namierz wroga, a następnie kliknij go prawym przyciskiem myszy."
CLIENT_HELP_INC_000034,Ranged Attack,Atak z dystansu
CLIENT_HELP_INC_000035,"Ranged attacks are done with Yo-yos, and bows. To engage an enemy with a ranged attack, equip the appropriate weapon, target the enemy, and then Right Click on the target. Note that Bow require arrows to be used.","Ataki dystansowe wykonuje się za pomocą Yo-yo i łuków. Aby zaatakować wroga atakiem dystansowym, wyposaż się w odpowiednią broń, wyceluj we wroga, a następnie kliknij cel prawym przyciskiem myszy. Pamiętaj, że łuk wymaga strzał."
