Key,English,Traditional_Chinese
PROPQUEST_INC_000000,,
PROPQUEST_INC_010000,Daily,每日
PROPQUEST_INC_000291,Save the Garden! (Part 1),搶救遺跡大作戰 一
PROPQUEST_INC_000292,The Garden of Rhisis is dying! Could you help me?,黎席斯花園快死了！ 你可以幫幫我嗎？
PROPQUEST_INC_000293,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.,你需要從苦命超人獲得10個苦命超人的心臟，去解救黎席斯庭院。
PROPQUEST_INC_000294,Thank you!,謝謝！
PROPQUEST_INC_000295,"If you change your mind later, please come back to me!",終於辛苦的把苦命超人的心臟收齊了！還以為這樣就結束了…沒想到還要我去找傑勒…啊！做好人不是這麼簡單滴～～～
PROPQUEST_INC_000296,Thank you! You should really talk to Janne.,謝謝！你真的應該跟珍妮聊聊。
PROPQUEST_INC_000297,Come back when you have the Bearer Hearts.,當你擁有苦命超人的心臟時回來。
PROPQUEST_INC_000298,Save the Garden! (Part 2),搶救遺跡大作戰 二
PROPQUEST_INC_000299,You have a message from my sister!,聽說有種神秘的盆子叫做[情盆]… 這東西誕生的過程就非常的KUSO勒…原來是怪物與人彼此相愛後誕生出來的…厄…不管怎樣，這東西現在由金貝勒保管著…
PROPQUEST_INC_000300,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?,我知道了，黎席斯庭院快要死了……你能告訴我姐姐金貝勒嗎？
PROPQUEST_INC_000302,The problem with the Garden of Rhisis can wait. I guess...,黎席斯花園的問題可以等，我猜...
PROPQUEST_INC_000303,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.,謝謝你給我帶來了這條信息，我認為你應該和在東邊布拉里斯的謬大師談談。
PROPQUEST_INC_000304,You still haven't found Kimberley? She is in Saint City.,你還沒有找到金貝勒？ 她在聖城。
PROPQUEST_INC_000308,Save the Garden! (Part 3),搶救遺跡大作戰 三
PROPQUEST_INC_000309,The Saint City sisters say that the Garden of Rhisis is dying.,聖城姊妹說，黎席斯花園快要死了。
PROPQUEST_INC_000310,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.,你能給安妮帶來一杯生命茶嗎？ 你可以在萊樂安山脈的東邊找到它。
PROPQUEST_INC_000311,Thank you! If you help her she will give you an Earring.,謝謝！ 如果你幫助她，她會給你一個耳環。
PROPQUEST_INC_000313,I will save the Garden of Rhisis with this tea! Here is an Earring to thank you.,我會用這茶來拯救黎席斯庭院！ 這是一個耳環來感謝你。
PROPQUEST_INC_000314,Bring a Live Tea to Ann at Saint City.,在聖城給安妮帶來一杯生命茶。
PROPQUEST_INC_000422,Find Santa's Socks!,尋找聖誕襪
PROPQUEST_INC_000423,It is a sad Christmas here in Madrigal. Santa Claus has lost all of the stockings that hold the children's presents! We must find the red stockings!,可憐的聖誕老公公，找不到遺失的聖誕襪…我來努力幫他找找吧！我想那些襪子應該是被怪物拿走了…
PROPQUEST_INC_000461,A Favor for the Pastor,給牧師的愛心
PROPQUEST_INC_000462,The pastor would like me to deliver 20 bouquets! I wonder what the reward will be!,華倫泰神父說，收集20束玫瑰花束給他，就會給我一個驚喜的禮盒！不知道開出來的東西是什麼呢？
PROPQUEST_INC_000465,Give Back the Love.,歸還愛情
PROPQUEST_INC_000466,I have to gather 10 pieces of hearts. It's time to hunt some masquerpets.,要蒐集10個愛心碎片，去打獵吧。
PROPQUEST_INC_000469,Vagrant Master (Acrobat),流浪者(雜技師)
PROPQUEST_INC_000470,"So you want to be an Acrobat, huh? You won't regret it! I have a simple test for you before starting the training. Are you ready? …hic!",你現在選擇的雜技師的路，希望你不要有所後悔，首先我要進行一些測試，你準備好了嗎？
PROPQUEST_INC_000472,Good luck! You'll need it!,祝你一路順風。
PROPQUEST_INC_000473,"What are you afraid of? The path to become an Acrobat may be difficult for some, but it's so worth it! Come back if you change your mind, friend.",你說不要走雜技師的路嗎？好吧！反正請你仔細的考慮你要走的路吧！
PROPQUEST_INC_000474,Well done. You've passed the first test!,很好！你已經通過了測試。
PROPQUEST_INC_000475,"I'm still waiting for you to hunt $QUEST_END_KILL_COUNT$ Small Aibatts. If you want to become an Acrobat, you must complete this simple task.",我還在等你去獵殺 $QUEST_END_KILL_COUNT$ 個獨眼蝙蝠嘍囉。如果你想成為一名雜技師，你必須完成這個簡單的任務。 
PROPQUEST_INC_000476,You have already chosen to pursue another path. I cannot help you any further. You can still cancel the other job quest in the Quest Window and come back to me.,嗯..你好像已經轉換你的跑到了..應該沒有要找我的事情了吧。 
PROPQUEST_INC_000477,"For starters, let's go with something easy. I would like you to hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$s.",對於初學者，讓我們做一些簡單的事情。 我想讓你獵殺 $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$s。
PROPQUEST_INC_000479,Acrobat Weaponry,雜技師的武器
PROPQUEST_INC_000480,Now it's time for the next step on your path to becoming an Acrobat.,你已經通過第一個測試了，辛苦你了！好，現在開始要進行第2個測試了！
PROPQUEST_INC_000481,"I want you to return to collect 10 Twinkle Stones from Aibatts in the area, 5 Peakyrinds from Peakyturtles and 1 Slain from Lawolf.",我要你回來，從該地區的獨眼蝙蝠那裡收集 10 個閃耀石，從戰車蟲那裡收集 5 個戰車蟲硬皮，從布魯狼那裡收集 1 個賤狼指甲。 
PROPQUEST_INC_000482,"Once you've gathered the Twinkle Stones, bring them to Pyre in the north of Flarine.",收集完閃耀之石後，將它們帶到布拉里斯北部的飛蕊。
PROPQUEST_INC_000483,Good luck! You're going to need it!,祝你一路順風喔～
PROPQUEST_INC_000484,You must like being a Vagrant. It would certainly be a shame if you quit now. I'll be here if you have a change of heart.,你要繼續當見習生嗎？如果你這麼覺得見習生好的話，我也沒意見啦！可是、你要記住機會是很難得的喔！
PROPQUEST_INC_000485,"Thank you for the Twinkle Stones, Apprentice. I will cover Acrobat weaponry with you now. Acrobats are able to wield both Bows and Yo-Yos.",呵呵...看你拿這些東西來，這代表你已經通過訓練了，我告訴你關於武器的事情好了。雜技師的武器有2種，一種是溜刃、另一種是弓箭。
PROPQUEST_INC_000486,Bows are long range weapons that consume arrows for each shot. The strength of the basic shot is determined by how long you wait before releasing the arrow.,弓箭是當你使用一次就會消耗一根箭。攻擊方式是第一階段到第四階段，階段越高攻擊力就越高了。
PROPQUEST_INC_000487,"Yo-Yos are also long range weapons. However, the strength of the basic attack only changes depending on special skills used in conjunction with them.",溜刃是可以雙手使用，雖然沒有階段性的攻擊，可是是一個很輕巧的武器喔～這樣懂了嗎？
PROPQUEST_INC_000488,"If you met with Hent, then you should probably have something for me, hmm?",嗯？你沒有東西要給我嗎？涵特沒請你拿東西給嗎？
PROPQUEST_INC_000489,"Gather 10 Twinkle Stones, 5 Peakyrinds and 1 Slain then deliver them to Acrobat Master Pyre near the Darken City Quest Office.",蒐集10個『閃耀石』拿給雜技大師飛蕊
PROPQUEST_INC_000491,Acrobat Skills,雜技師的技術
PROPQUEST_INC_000492,That about does it for Acrobat weaponry.,關於武器的事情，你懂了嗎？好吧！接下來是下一個訓練。你知道『杜爾沛』這些傢伙吧！他們會到『浪樓江』來洗澡。
PROPQUEST_INC_000493,"Now for the next step in your journey. I want you to travel to Flaris, and visit the High-Dwarpets. They have important information for you.",可是啊～他們很會把東西弄丟，上次也是哆卡把「技能序章」給我弄丟了，你可以把這本書找去給他嗎？
PROPQUEST_INC_000494,The High-Dwarpets can be found north of Flarine. Check your map (M Key) to find your way if you get lost.,你把「技能序章」找給他的話，他應該會告訴你一些事情啦。你問我在哪找喔？這還要問嗎？當然是『浪樓江』啊！
PROPQUEST_INC_000495,"Good luck, apprentice.",祝你一路順風啊～
PROPQUEST_INC_000496,What a shame to waste such potential. Come see me again if you change your mind.,我想你應該對雜技師不夠瞭解啦！你如果懂雜技師的魅力在那的話，不可能就這樣放棄的。
