Key,English,French
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,Une requête pour la collecte de $QUEST_END_ITEM_NAME$s a été soumise. Peux tu aller en récupérer ?
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,Récoltez 45 Bandages Grrr afin de pouvoir soigner les patients.
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,Collecter des Ampères sur les Volts pour les Dwarpets
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,Les apprentis médecins ont besoin de Booposn pour la production d'anesthésiques.
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,Ramasser du $QUEST_END_ITEM_NAME$ pour les apprentis médecins.
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,La ville cherche à remplacer ses outils à travailler le bois et a besoin pour cela de Rootie.\nAcceptes-tu cette mission ?
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,"Si tu n'es pas au courant, tu peux trouver des $QUEST_END_ITEM_NAME$ sur les $QUEST_END_ITEM_MON$."
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,Tu peux récupérer des $QUEST_END_ITEM_NAME$ sur les $QUEST_END_ITEM_MON$.
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,"Tu peux ramasser des $QUEST_END_ITEM_NAME$s juste avant le pont de la Rivière de Larmes, sur la rive sud."
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,Tu peux trouver des IDs inconnues dans le territoire des Bangs au nord-est de la Rivière de Larmes
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,Tu peux ramasser du Nyang au nord de Rivière de Larmes. Il s'agit de la nourriture préférée des Géants Nyangnyang.
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,Tu peux rassembler les Documents officiels volés sur le territoire des Mias. 
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,"Tu n'es pas intéressé par cette mission ? Tant pis… Mais si tu changes d'avis, reviens me voir."
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,"Les dwarpets ont besoin d'$QUEST_END_ITEM_NAME$s, il t'en manque encore."
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,Tu n'as pas collecté assez de $QUEST_END_ITEM_NAME$s.
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,Excellent travail ! Tu as terminé la quête.
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,"Excellent travail ! Ces objets seront très utiles, prends ceci en récompense."
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$ est heureuse de voir la quête accomplie et elle continue de trouver des demandes.
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$ était heureuse d'apprendre que cette quête était terminée.
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,$QUEST_END_NPC_NAME$ était heureuse d'apprendre que vous avez réussi à terminer sa mission.
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,Groupe d'Is
