Key,English,Simplified_Chinese
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,通过猎杀独眼蝠获得发光石
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,把它交给魔术师教官洛帕兹。
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,交给弓箭手教官泰勒。
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,在晨光南部的幻魔依普利神殿除掉莲。
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,除掉西西普并获得英雄的灵魂之石
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,除掉贝纳卡度温并获得贝纳卡度温的心脏。
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,除掉路宝并找到海楠的信件。
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,除掉小丑术士并找到英雄史书。
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,将海琳的耳环交给阿塔
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,除掉蓝岩毒蝎并找到恶魔之泪。
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,除掉小蛙跳蝠并找到黄金帽线索
QUEST_DESTINATION_0018,Meet Kurumin.,见到咕噜米。
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,击败独轮蒸汽机并获得灵魂之石。
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,击败好人并获得印章文件。
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),击败蒸汽机甲并获得技能魔法符咒
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,给佩辛印章文件。
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,击败莲并获得艾诺印章。
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,将艾诺印章给特莎。
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,击败淘金者并获得艾诺泪珠。
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,击败坤沙并获得魔法衬衣.
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.",找到路法，并给他魔法衬衣。
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.",去寻找在晨光镇的管理员帕里尼，并给她带有魔法的羽毛
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,把它带给达肯市长。
QUEST_DESTINATION_0032,Defeat Organiger.,击败战栗毒蝎
QUEST_DESTINATION_0033,Defeat Gangard.,击败冰色巨眼怪。
QUEST_DESTINATION_0034,Defeat Hardeser.,击败哈德塞。
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,击败米娅小组并获得米娅的报告。
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,去晨光找到市长。
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,击败红色魔导战甲强盗团的团长。
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,击败红色魔导战甲并获得盗贼的标志。
