Key,English,French
PROPQUEST_SCENARIO_INC_000299,Prologue,Prologue
PROPQUEST_SCENARIO_INC_000304,Questioning,Devoir de mémoire
PROPQUEST_SCENARIO_INC_000305,"Hmm... What should I do? Hey, can you help me?","(pensive) Hmm... Que dois-je faire ?! (vous regardant) Je suis vraiment heureuse de te rencontrer en tout cas, crois-tu que tu pourrais m'aider ?"
PROPQUEST_SCENARIO_INC_000306,"I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to.","Pour être tout à fait honnête, quelque chose m'angoisse depuis quelques temps…"
PROPQUEST_SCENARIO_INC_000307,"I am studying recent history, but it is really hard. So would you please help me? Please?","J'étudie l'histoire de Madrigal, mais il reste de nombreuses zones d'ombres… Ta force me serait précieuse, veux-tu bien m'aider, s'il te plaît ?"
PROPQUEST_SCENARIO_INC_000308,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.,"J'étudie l'histoire de Madrigal, mais il reste de nombreuses zones d'ombres… Ta force me serait précieuse, veux-tu bien m'aider, s'il te plaît ?"
PROPQUEST_SCENARIO_INC_000309,What? Awww I knew it was too good to be true.,"J'étudie l'histoire de Madrigal, mais il reste de nombreuses zones d'ombres… Ta force me serait précieuse, veux-tu bien m'aider, s'il te plaît ?"
PROPQUEST_SCENARIO_INC_000310,"Oh, it seems like Martinyc is too busy to deliver her own applications.",Il semble que Martinyc soit trop occupée pour me rendre visite d'elle-même… (lisant la lettre) Hmm…d'accord j'accepte qu'elle poursuivre ces études sur l'histoire de Madrigal.
PROPQUEST_SCENARIO_INC_000311,May I help you? You want to fill out an application? The form is on the right side of the office.,"Est-ce que je peux te renseigner ? Ah, vous voulez me remettre une lettre de Martinyc ? Reviens me voir avec ce Devoir de mémoire…"
PROPQUEST_SCENARIO_INC_000312,Go to the office and deliver a scholarship application to the Mayor.,Trouver le Devoir de mémoire près de l'Office Public et le remettre au maire de Flarine.
PROPQUEST_SCENARIO_INC_000314,Cracked Continent,Division continentale
PROPQUEST_SCENARIO_INC_000315,"Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted.","Parfait, je peux donc poursuivre mes recherches ! (chuchotant, en surveillant aux alentours) En fait... j'ai découvert que toutes les informations au sujet de l'histoire de Madrigal sont fausses !"
PROPQUEST_SCENARIO_INC_000316,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.,"Parfait, je peux donc poursuivre mes recherches ! (chuchotant, en surveillant aux alentours) En fait... j'ai découvert que toutes les informations au sujet de l'histoire de Madrigal sont fausses !"
PROPQUEST_SCENARIO_INC_000317,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.,"L'autre jour j'ai presque été tuée par des assassins, j'ai alors réalisé la raison pour laquelle la Société d'Histoire ne veux pas poursuivre ses recherches… mais je n'abandonnerai jamais !"
PROPQUEST_SCENARIO_INC_000318,"I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however.","I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however."
PROPQUEST_SCENARIO_INC_000319,Will you help me regardless of the danger?,"S'il te plaît, peux-tu m'aider ? Sois prêt à encourir de grands dangers cependant…"
PROPQUEST_SCENARIO_INC_000320,"I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these.",Merci !! Alors tout d'abord il me faut des pierres spéciales que l'on trouve sur chaque continent. Tu les trouveras près des Autels Pourpres des trois îles et il m'en faut 5 de chaque.
PROPQUEST_SCENARIO_INC_000321,Thanks for listening to me anyway. I understand if you are unwilling to risk your life.,"Si tu penses que ça ne vaut pas le coup de risquer ta vie, je ne te blâmerais pas. Merci m'avoir écoutée néanmoins. "
PROPQUEST_SCENARIO_INC_000322,Hmm... This is exactly what I expected. I will study these some more but before you go please...,"(observant les pierres) Hmm… c'est exactement ce que je pensais. Bien, il faut que je poursuive mes recherches… Merci en tout cas !"
PROPQUEST_SCENARIO_INC_000323,"...you should be very, very careful. I am almost sure that the assassins that tried to kill me will come after you.","Oh, attends... (silence bref) Maintenant tu dois faire très, très attention. Je crains que les assassins à qui j'ai eu affaire s'en prennent à toi..."
PROPQUEST_SCENARIO_INC_000324,"Please bring me 5 rocks from each continent - Flaris, Darkon, and Saint Morning. Good luck!","S'il te plaît, rapporte-moi 5 pierres de chaque île : Flaris, Saint Morning et Darkon, soit 15 en tout. Bonne chance !"
PROPQUEST_SCENARIO_INC_000325,There are ancient altars on each continent. Please bring me 5 rocks from each contient.,"Collecter 5 Pierres de Flaris, 5 Pierres de Saint Morning, et 5 Pierres de Darkon, près des Autels Pourpres de chaque continent."
PROPQUEST_SCENARIO_INC_000327,Plot Begins,Planification
PROPQUEST_SCENARIO_INC_000328,"This is evidence that the continents were once one land mass. I am trusting you with this information because, well...",Avant de te dire la vérité... Heu... On est dans le même bateau maintenant et tu es donc aussi en danger ! Veux-tu vraiment aller jusqu'au bout avec moi ?
PROPQUEST_SCENARIO_INC_000329,...we are in the same boat now. We are in danger together. Would you go through with me to the end?,Avant de te dire la vérité... Heu... On est dans le même bateau maintenant et tu es donc aussi en danger ! Veux-tu vraiment aller jusqu'au bout avec moi ?
PROPQUEST_SCENARIO_INC_000330,Okay. Now please deliver this to Gothante. He is the chairman of the History Society in Saint City. Do not forget to be aware of the assasins.,"J'apprécie ton courage ! Maintenant j'aimerais que tu remettes cette preuve à Gothante, le président de la Société d'Histoire de Saincity. Reste sur tes gardes cependant..."
