Key,English,German
CLIENT_HELP_INC_000000,Basic Operations,Grundlegende Steuerung
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,Dieser Abschnitt folgt dem Tutorial vom Info-Pang und zeigt tiefergehende Erklärungen zu den Spielmechaniken und einigen einzigartigen Besonderheiten.
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,"Wenn du nach diesem Abschnitt noch Fragen hast, solltest du die offizielle Website und Foren ($WEBSITE$) besuchen."
CLIENT_HELP_INC_000003,Mouse,Maus
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.","Deine Maus ist wichtig im Spielverlauf. Du benutzt sie zum Laufen, Anvisieren und Auswählen von Gegenständen und Einstellungen. Mit dem Rechtsklick kannst du die Kamera bewegen und das NPC Menü öffnen, wenn du diesen anvisierst. Alle diese Funktionen kannst du in der Hilfe nachlesen."
CLIENT_HELP_INC_000005,Movement,Bewegen
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.","Um sich mit der Tastatur zu bewegen, drücke W (vorwärts), A (links), S (rückwärts) oder D (rechts), um in die gewünschte Richtung zu gehen. Zum Springen drücke die Leertaste. Mit der Maus kannst du einfach an einen Punkt klicken, zu dem dein Charakter gehen soll."
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.",Drücke die Leertaste um zu springen. Du kannst aus dem Stand oder während des Laufens springen.
CLIENT_HELP_INC_000008,Camera,Kamera
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.","Du kannst die Kamera auf viele verschiedene Arten steuern und sogar einrasten lassen. Ruf dazu das Startmenü auf, wähle Option und schalte Camera Fix ein. Auf diese Weise kannst du die Kamera mit den Tasten A und D steuern. Dies überschreibt die Bewegungssteuerung. Alternativ kannst du einfach die rechte Maustaste gedrückt halten und die Maus bewegen."
CLIENT_HELP_INC_000010,"Regardless of how you choose to manipulate the camera, the zoom functions will always be the same. You can Zoom in and out with the mouse wheel or the Page Up and Page Down keys. In order to zoom in even further, press the Scroll Lock Button.","Unabhängig davon, wie du die Kamera steuerst, sind die Zoomfunktionen immer gleich. Du kannst mit dem Mausrad oder den Bild-auf- und Bild-ab-Tasten hinein- und herauszoomen. Um noch weiter hinein zu zoomen, drück die Scroll Lock-Taste."
CLIENT_HELP_INC_000011,Flying,Fliegen
CLIENT_HELP_INC_000012,A character that has reached level 20 and has finished the flying quest can take advantage of flying with broom and boards.,"Ein Charakter, der Level 20 erreicht und die Flugquest abgeschlossen hat, kann mit Besen und Flugboards fliegen."
CLIENT_HELP_INC_000013,Station NPC's sell a variety of Brooms and Boards. If you feel like you would like to spice up your method of flying you can check the premium shop for faster and more unique items to fly on.,"Stations-NPCs verkaufen eine Vielzahl von Besen und Brettern. Weitere, schönere und schnellere Fluggeräte kannst du im Premium-Shop finden."
CLIENT_HELP_INC_000014,,
CLIENT_HELP_INC_000015,,
CLIENT_HELP_INC_000016,,
CLIENT_HELP_INC_000017,,
CLIENT_HELP_INC_000018,,
CLIENT_HELP_INC_000019,How do I fly?,Wie fliege ich?
CLIENT_HELP_INC_000020,"To fly, simply equip a flying board or broom and then press the Space bar. You will automatically accelerate until your reach your maximum speed. To stop, press the Space bar again.","Um zu fliegen, rüste einfach ein Flugboard oder einen Besen aus und drücke dann die Leertaste. Du beschleunigst automatisch, bis du die Höchstgeschwindigkeit erreicht hast. Drücke zum Abbremsen erneut die Leertaste."
CLIENT_HELP_INC_000021,"You can steer while flying with your mouse or with the W,A,S,D keys.","Während des Fliegens kannst du mit der Maus oder mit den W,A,S,D Tasten lenken."
CLIENT_HELP_INC_000022,You can buy fuel to increase the speed of your broom or board. Double-click the fuel and press the X key to activate or de-activate the fuel.,"Du kannst Kraftstoff kaufen, um die Geschwindigkeit deines Besens oder Boards zu erhöhen. Doppelklicke auf den Kraftstoff und drücke die X-Taste um den Kraftstoff zu aktivieren oder zu deaktivieren."
CLIENT_HELP_INC_000023,,
CLIENT_HELP_INC_000024,,
CLIENT_HELP_INC_000025,,
CLIENT_HELP_INC_000026,,
CLIENT_HELP_INC_000027,,
CLIENT_HELP_INC_000028,Combat,Kampf
CLIENT_HELP_INC_000029,"You will encounter hundreds of hostile masquerpets in the land of Madrigal. Depending on what type of character you build, you will have multiple options on how to attack these villainous monsters. These methods will be explained in more detail here.","Im Land von Madrigal wirst du Hunderten von feindlichen Masquerpets begegnen. Je nachdem, welchen Job du annimmst und in welche Aspekte du spezialisierst, stehen dir verschiedenste Möglichkeiten zum Attackieren dieser schurkischen Monster zur Verfügung. Diese Möglichkeiten werden hier näher erläutert."
CLIENT_HELP_INC_000030,"Along with these masquerpets, you can engage in intense PVP Combat if you have chosen to play on Demian. To attack players on Demian, you must hold down the Ctrl Key and then initiate your attack.","Neben diesen Masquerpets kannst du dich auch an intensiven Kämpfen mit anderen Spielern beteiligen, wenn du dich entscheidest auf dem Server Demian zu spielen. Um Spieler auf Demian anzugreifen, musst du die Strg-Taste gedrückt halten und dann deinen Angriff starten."
CLIENT_HELP_INC_000031,,
CLIENT_HELP_INC_000032,Melee Attack,Nahkampfangriff
CLIENT_HELP_INC_000033,"Melee attacks are done with all variations of close combat weapons, this includes swords, axes, staffs, and even knuckle weapons. To engage a enemy in a Melee attack simply equip your weapon, target your enemy, and then click on them.","Nahkampfangriffe werden mit allen Variationen von Nahkampfwaffen ausgeführt, dazu gehören Schwerter, Äxte, Stäbe und sogar Knöchelwaffen. Um einen Feind in einen Nahkampfangriff zu verwickeln, rüste einfach deine Waffe aus, wähle den Feind aus und greife ihn an, indem du mit der linken Maustaste auf ihn klickst."
CLIENT_HELP_INC_000034,Ranged Attack,Distanzangriff
CLIENT_HELP_INC_000035,"Ranged attacks are done with Yo-yos, and bows. To engage an enemy with a ranged attack, equip the appropriate weapon, target the enemy, and then Right Click on the target. Note that Bow require arrows to be used.","Fernkampfangriffe werden mit Yo-Yos und Bögen ausgeführt. Um einen Feind mit einem Fernkampfangriff anzugreifen, rüste die entsprechende Waffe aus, ziele auf den Feind und klicke dann mit der linken Maustaste auf das Ziel. Beachte, dass der Bogen Pfeile zum Schießen benötigt."
CLIENT_HELP_INC_000036,Magic Attack,Magiekampf
CLIENT_HELP_INC_000037,Wands have the unique ability to shoot a charged magic attack. Do this by holding down the Right Mouse button after you have selected your target. Release the button to launch your attack.,"Zauberstäbe haben die einzigartige Fähigkeit, einen geladenen magischen Angriff abzufeuern. Halte dazu die linke Maustaste gedrückt, nachdem du ein Ziel ausgewählt hast. Lass die Taste los, um den Angriff zu starten."
CLIENT_HELP_INC_000038,Equipping items,Ausrüstungsgegenstände
CLIENT_HELP_INC_000039,"To equip an item, open your inventory then double-click the item you want to equip. It will then automatically replace the item you currently have equipped in that slot. Double-click on equipped item to unequip it.","Um einen Gegenstand auszurüsten (Waffe, Rüstung, Schilde, usw.), öffne dein Inventar und doppelklicke auf den gewünschten Gegenstand. Er wird automatisch den aktuellen Gegenstand ersetzen, den du zur Zeit angelegt hast. Doppelklicke einen angelegten Gegenstand, um ihn auszuziehen."
CLIENT_HELP_INC_000040,Using Items,Gegenstände benutzen.
CLIENT_HELP_INC_000041,You can use an item by double-clicking it. You can also place items in your Extra Bags by simply opening them and then dragging it over. The item drops to the ground if you place the item outside your inventory.,"Du kannst einen Gegenstand verwenden, indem du darauf doppelklickst. Du kannst auch Gegenstände in deine Extrataschen legen, indem du die Taschen einfach öffnest und dann die Gegenstände hineinziehst. Der Gegenstand fällt zu Boden, wenn du ihn außerhalb deines Inventars ziehst."
CLIENT_HELP_INC_000042,You can place an item in the quick task bar located at the bottom of your screen. It is possible to use it instantly with the corresponding Hot Key or by clicking with your Mouse. Right click an item to remove the item from the quick slot.,"Du kannst einen Gegenstand in der Schnellzugriffsleiste am unteren Bildschirmrand platzieren. Es ist möglich, ihn sofort mit der entsprechenden Taste, oder durch Klicken mit der Maus zu verwenden. Klicke mit der rechten Maustaste auf einen Gegenstand, um ihn aus der Schnellzugriffsleiste zu entfernen."
CLIENT_HELP_INC_000043,,
CLIENT_HELP_INC_000044,Chatting,Chatten
CLIENT_HELP_INC_000045,"Pressing enter will toggle the Chat Menu display on if you have closed it for any reason. Once the Chat Menu is open simply press Enter one time to toggle the chat function. Once you have typed your message simply press Enter again to send your message out. You will also see buttons for Whisper, Shout, Party, and Guild. These buttons will filter your message directly to those respective groups. There are also options for filtering your incoming chats, and viewing System Messages.","Du kannst das Chat-Fenster öffnen indem du die Enter-Taste drückst, falls es geschlossen ist. Wenn es bereits geöffnet ist, kannst du durch Drücken der Enter-Taste direkt anfangen zu Schreiben und kannst deine Nachricht auch direkt mit Enter abschicken. Es gibt auch verschiedene Symbole für Flüstern, Schreien, Party-Chat und Guild-Chat. Durch das Klicken dieser Symbole kommst du auch zum entsprechendem Chat. Du kannst deinen Chat nach Direktnachrichten und Systemnachrichten filtern."
CLIENT_HELP_INC_000046,NPC Trading,NPC Handel
CLIENT_HELP_INC_000047,"To trade with an NPC, left click the NPC and choose Trade.","Um mit einem NPC zu handeln, klicke mit der linken Maustaste auf den NPC und wähle Handel."
