Key,English,Traditional_Chinese
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.",你好～我是新手指導員 ^^\n\n我會負責提供一些你所需要的情報。\n\n你要和我學習在飛飛世界裡討生活的方法嗎？\n\n由於學習的內容可以再做確認，所以如果你記不起來了，只要過來找我，就可以使用目錄確定選單。
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]","Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]"
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,移動方法
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.",#b#cff0000ff■ 移動[[使用滑鼠|]]#nb#nc\n[[點擊滑鼠左鍵|觸碰螢幕]] 到你想要去的地方。[[\n\n#b#cff0000ff■ 用鍵盤移動#nb#nc\n你可以使用以下按鍵來移動。\n前進：W\n後退：S\n左轉：A\n右轉：D\n\n#b#cff0000ff■ 走路#nb#nc\n下X鍵變更為走路狀態，如果你想變回跑步狀態的話，只要再按一次即可。|]]\n\n#b#cff0000ff■ 跳躍#nb#nc\n當你想要跳躍的時候[[按下空白鍵|長按螢幕]]。
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)",那麼現在就來了解用鍵盤移動的方法吧。用鍵盤移動的方法和下面一樣，\n\n前進：W\n後退：S\n左轉：A\n右轉：D\n\n很簡單吧？你自己移動試試看吧。\n\n#cffff0000完成條件：角色移動 (鍵盤)
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]","Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]"
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]",接下來是：跳躍! 非常簡單。\n\n[[按空白鍵。如果您想在移動時跳躍，請在移動時按空白鍵|長按螢幕上的任何位置或點擊位於螢幕右下角的#b「跳躍」按鈕#nb]]。\n\n#cffff0000完成條件：跳躍[[空白鍵|]]
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],讓我們來探索相機控制:\n\n[[相機由滑鼠和鍵盤控制。我們先來看看滑鼠用法。\n\n將滑鼠指標移到您想要查看的位置，同時按住右鍵|#b在螢幕上滑動手指#nb]] 以旋轉相機。\n\n#cffff0000完成條件：移動相機[[ (滑鼠)|]]
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,視角操作方法
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].",#b#cff0000ff■ 移動視角[[滑鼠|]]#nb#nc。\n你可以藉由[[按住滑鼠右鍵移動你的游標|在螢幕上滑動手指]] 來觀看任何地方[[\n\n#b#cff0000ff■ 藉由鍵盤來移動視角#nb#nc\n你可以使用以下按鍵來移動視角\n往上：↑\n往下：↓\n往左：←\n往右：→|]]\n\n#b#cff0000ff■ 縮放畫面#nb#nc\n[[你可以使用滑鼠滾輪，也可以使用 PGUP；PGDN 來達到一樣的目的|雙指壓住螢幕分開或合併手指]]。
TUTORIAL_ROTATE_CAMERA_KEYBOARD_TEXT,"Let's go through how the camera works with the Keyboard. Here are the keys to press to rotate the camera:\n\nUp: Up Arrow #b↑#nb\nDown: Down Arrow #b↓#nb\nLeft: Left Arrow #b←#nb\nRight: Right Arrow #b→#nb\n\nPretty easy, huh?\n\n#cffff0000Clear Condition: Press an Arrow Key #b↑↓←→#nb","讓我們看看相機如何與鍵盤搭配使用, 以下是旋轉相機的按鍵:\n\n上:向上箭頭 #b↑#nb\n下:向下箭頭 #b↓#nb\n左:左箭頭 #b←#nb\n右:右箭頭 #b→#nb\n\n很簡單吧, 對吧?\n\n#cffff0000清除條件:按方向鍵 #b↑↓←→#nb"
TUTORIAL_ZOOM_CAMERA_TEXT,"How's that? Simple, right? Now, let's tackle zooming.\n\n[[Zooming in and out is possible with the Mouse wheel. It is also possible with the Page Up and Page Down Keys|Pinch to #bzoom out#nb and spread your fingers to #bzoom in#nb]].\n\n#cffff0000Clearing requirement: Adjust the camera zoom","How's that? Simple, right? Now, let's tackle zooming.\n\n[[Zooming in and out is possible with the Mouse wheel. It is also possible with the Page Up and Page Down Keys|Pinch to #bzoom out#nb and spread your fingers to #bzoom in#nb]].\n\n#cffff0000Clearing requirement: Adjust the camera zoom"
TUTORIAL_OPEN_MENU_TEXT,"Great! [[It's time to learn how to change settings to enjoy the game the best as possible.\n\nSettings are available from the main game menu.\n\nClick on the #bbutton on bottom left#nb of the screen to open the main menu|Next, let's open the #bmain menu#nb.\n\nJust tap the button at the bottom left of the screen]].\n\n#cffff0000Clearing requirement: Open the main menu",好極了！ [[是時候學習如何更改設定以盡可能享受遊戲的樂趣了。\n\n設定可從主選單裡找到。\n\n點擊畫面左下方的#b按鈕#nb打開主選單|接下來，讓我們打開#b主選單#nb。\n\n只需點擊螢幕左下角的按鈕]]。\n\n#cffff0000完成條件：開啟主選單
TUTORIAL_OPEN_OPTION_TEXT,"Now [[click on|tap]] #bOption#nb to access the settings.\n\nHere, you can adjust the #btexture quality, shadows, music volume, language, and more#nb.\n\nOnce finished, hit the #b'Save'#nb button to apply your changes.\n\n#cffff0000Clearing requirement: Open the options window","Now [[click on|tap]] #bOption#nb to access the settings.\n\nHere, you can adjust the #btexture quality, shadows, music volume, language, and more#nb.\n\nOnce finished, hit the #b'Save'#nb button to apply your changes.\n\n#cffff0000Clearing requirement: Open the options window"
TUTORIAL_OPEN_OPTION_TITLE,Settings,設定
TUTORIAL_OPEN_OPTION_CONTENT,"#b#cff0000ff■ Video / Audio tab#nb#nc\nYou can configure texture quality, shadows quality and many other graphical options. Use Save button or your changes will be reset when you close the window. Texture quality and Antialiasing are only applied when saving changes. Antialiasing[[|, Vibrations]] and Fullscreen options are not supported on all devices. All advanced options and high quality settings will consume more energy and Internet bandwidth so consider disabling them if you have a limited Internet connection or experiencing a slow framerate.\n\n#b#cff0000ff■ Game tab#nb#nc\nYou can select the interface language and enable or disable some options relative to your character. Don't forget to save your changes.","#b#cff0000ff■ 影像音效 選項#nb#nc\n你可以設定紋理材質，陰影品質和圖形選項。記得使用儲存否則將在關閉設定視窗時重製設定。紋理材質和反鋸齒只會在儲存之後才會反映。反鋸齒[[|,震動]] 和全螢幕並不被所有裝置支援。所有的高級選項和高畫質設定將會花費更多功耗和網路頻寬，因此，如果你的網速或幀數受到限制，建議不要更動。\n\n#b#cff0000ff■ 遊戲 選項#nb#nc\n你可以選擇語言介面和啟用/關閉角色相關的選項。記得不要忘記儲存設定喔。"
TUTORIAL_OPEN_MAP_TEXT,"Your adventure takes place in #bMadrigal#nb.\n\n[[Press M key|Tap the #bmini-map#nb]] to check your current location or to view maps of other areas.\n\nTo return to the game, [[press M again|tap the cross button at the top right of the map]].\n\n#cffff0000Clearing requirement: [[Hot Key 'M'|Open the map]]","Your adventure takes place in #bMadrigal#nb.\n\n[[Press M key|Tap the #bmini-map#nb]] to check your current location or to view maps of other areas.\n\nTo return to the game, [[press M again|tap the cross button at the top right of the map]].\n\n#cffff0000Clearing requirement: [[Hot Key 'M'|Open the map]]"
TUTORIAL_OPEN_MAP_TITLE,Map,地圖
TUTORIAL_OPEN_MAP_CONTENT,"#b#cff0000ff■ Whole map#nb#nc\n[[Press M key|Touch World Map in main menu]] to see the continent of Madrigal.\n\n#b#cff0000ff■ Mini-Map#nb#nc\n[[Press N key|Touch cross button]] to hide navigator on right corner. If you want to see it again, [[press N key again|touch Navigator in main menu]].",#b#cff0000ff■ 世界地圖#nb#nc\n[[按下M鍵|點擊主選單的世界地圖]] 來查看馬德利賈大陸。\n\n#b#cff0000ff■ 小地圖#nb#nc\n[[按下N鍵|點擊叉叉]] 隱藏右上方的導航，如果你想再次看到導航，[[再次按下N鍵|點擊主選單的導航]]。
TUTORIAL_OPEN_NAVIGATOR_TEXT,Let's go through the Navigator.\nYou can check your location and the surrounding area with the navigator that’s in the upper right part of the screen.\n[[Activate and deactivate the Navigator by pressing 'N'|Use Navigator in main menu to toggle the mini-map]].\n\n#cffff0000Clear Condition: [[Hot Key 'N'|Open the navigator]],現在來看看導航吧。\n你可以藉由導航來查看你的所在位置和周圍地區，導航就在你畫面的右上方。\n[[點擊'N' 啟用和關閉導航|使用主選單中的導航來開啟或關閉小地圖]]。\n\n#cffff0000完成條件：[[熱鍵 'N'|開啟導航]]
TUTORIAL_TALK_LUI_TEXT,Navigating #bMadrigal#nb just got easier!\n\nGo talk to #b#cffa0a0ff[General] Lui#nc#nb in Central Flarine by following the #barrow above your head#nb.\n\nHe seems to have important information for you. Best of luck!,Navigating #bMadrigal#nb just got easier!\n\nGo talk to #b#cffa0a0ff[General] Lui#nc#nb in Central Flarine by following the #barrow above your head#nb.\n\nHe seems to have important information for you. Best of luck!
TUTORIAL_START_QUEST_TEXT,"Congratulations on your first quest! Time to explore the #bQuest Diary#nb.\n\nThis diary keeps track of completed quests and those you're currently on.\n\nTo view deatils, [[press 'Q'|tap the #b'Quests'#nb button at the top of the screen]].\n\n#cffff0000Clearing requirement: [[Hot Key 'Q'|Open the Quest Diary]]","Congratulations on your first quest! Time to explore the #bQuest Diary#nb.\n\nThis diary keeps track of completed quests and those you're currently on.\n\nTo view deatils, [[press 'Q'|tap the #b'Quests'#nb button at the top of the screen]].\n\n#cffff0000Clearing requirement: [[Hot Key 'Q'|Open the Quest Diary]]"
TUTORIAL_START_QUEST_TITLE,Quest Window,任務視窗
TUTORIAL_START_QUEST_CONTENT,#b#cff0000ff■ Quest Window#nb#nc\nThis is where you can see current quest information and the completed quests.[[\nShortcut key is L.|]],#b#cff0000ff■ 任務視窗#nb#nc\n能夠查看目前所進行中的任務和已完成的任務。[[\n快捷鍵 'L'|]] 
TUTORIAL_MOTION_TEXT,Looking to express yourself?\n\n[[Press 'O'|Tap the Emotes button on the left]] to unveil a range of #bemoticons and expressions#nb. Give it a go.\n\n#cffff0000Clearing requirement: [[Press 'O'|Open the Emotes window]],Looking to express yourself?\n\n[[Press 'O'|Tap the Emotes button on the left]] to unveil a range of #bemoticons and expressions#nb. Give it a go.\n\n#cffff0000Clearing requirement: [[Press 'O'|Open the Emotes window]]
TUTORIAL_MOTION_TITLE,Emotion Expression,情緒表達
TUTORIAL_MOTION_CONTENT,"#b#cff0000ff■ Emotion Expression#nb#nc\nYou can use this to express your emotion to other players. There are many emoticons and icons for expression various emotions, so you should try to use it.[[\nShortcut key is O.|]]",#b#cff0000ff■ 情緒表達#nb#nc\n你可以對其他玩家表達情緒，有許多的表情符號和圖示可以表達各種情緒，你應該試試看。[[\n快捷鍵 O|]]
TUTORIAL_CHAT_TEXT,Ready to chat with others?\n\n[[Press ENTER|You can tap the #bChat#nb preview at the bottom]] to open the chat window.\n\nMessage in Normal chat are visible to nearby players.,Ready to chat with others?\n\n[[Press ENTER|You can tap the #bChat#nb preview at the bottom]] to open the chat window.\n\nMessage in Normal chat are visible to nearby players.
TUTORIAL_CHAT_TITLE,Chat Method,聊天模式
TUTORIAL_CHAT_CONTENT,#b#cff0000ff■ Normal Chat#nb#nc\nYou can only talk to players near by you. The way you talk is press Chat button on chat window.\n\n#b#cff0000ff■ Shout#nb#nc\nYou can talk to players who are in broad range. They way you shot is add #cffff0000/s #nc on front of the words that you want to say.\n\n#b#cff0000ff■ Party Chat#nb#nc\nYou can use it when you are in a party. The way you talk is add #cffff0000/p #nc on front of the wards that you want to say.\nYou can use Troupe button on the chat window.\n\n#b#cff0000ff■ Whisper#nb#nc\nYou can send message to certain player. The way you do it is add #cffff0000/w character name #nc.\nYou can use Whisper button on the chat window.\n\n#b#cff0000ff■ Guild Chat#nb#nc\nYou can use it when you are in a guild. The way you talk is add#cffff0000/g #nc.\nYou can use Guild button on the chat window.\n\n#b#cff0000ff■ System Message#nb#nc\nAll of the messages except chat message display in system window.To check press SYSTEM button on the chat window.\n\n#b#cff0000ff■ Filter Function#nb#nc\nYou can see the chat that you want to see. The way you do is press Filter button.,#b#cff0000ff■ 一般聊天#nb#nc\n可以傳達給自己周邊的玩家。使用的方法點擊聊天視窗的聊天訊息後，就可以了。\n\n#b#cff0000ff■ 大喊#nb#nc\n可以傳達比一般聊天更廣的範圍的玩家。使用的方法在自己想要說的話前面，輸入#cffff0000/s #nc後就可以了。也可以點擊聊天視窗的大喊訊息就。\n\n#b#cff0000ff■ 劇團聊天#nb#nc\n只有參加劇團的時候，才能使用，使用方法在自己想要說的話前面，輸入#cffff0000/p #nc後就可以了。\n也可以點擊聊天視窗的劇團訊息。\n\n#b#cff0000ff■ 密語聊天#nb#nc\n只對特定玩家發送訊息的方法，使用方法在自己想說的話前面，輸入#cffff0000/w 對方角色名稱#nc就可以了。\n也可以點擊聊天視窗的悄悄話訊息。\n\n#b#cff0000ff■ 公會聊天#nb#nc\n只有參加公會才可以使用，用方法在自己想說的話前面，輸入#cffff0000/g #nc就可以了。\n也可以點擊聊天視窗的公會訊息。\n\n#b#cff0000ff■ 系統訊息#nb#nc\n聊天訊息以外所有的訊息都是在系統視窗上，可以點擊聊天視窗的系統訊息確認內容。\n\n#b#cff0000ff■ 過濾功能#nb#nc\n點擊聊天視窗的過濾，勾選你想看到的聊天內容，就會隱藏其他沒有勾選的聊天內容了。
TUTORIAL_SHOUT_TEXT,"Mastering the Shout:\n\nShouting broadcasts your message to a #bbroader audience#nb than normal chat.\n\nTo shout, prefix your message with#cffff0000/s#nc. Remember, players won't see your shouts until you reach level 20.\n\n#cffff0000Clearing requirement: Use the shout ('/s') chat.","Mastering the Shout:\n\nShouting broadcasts your message to a #bbroader audience#nb than normal chat.\n\nTo shout, prefix your message with#cffff0000/s#nc. Remember, players won't see your shouts until you reach level 20.\n\n#cffff0000Clearing requirement: Use the shout ('/s') chat."
