Key,English,Simplified_Chinese
PROPQUEST_SCENARIO_INC_000299,Prologue,序 -疑问的开始-
PROPQUEST_SCENARIO_INC_000304,Questioning,疑问的开始
PROPQUEST_SCENARIO_INC_000305,"Hmm... What should I do? Hey, can you help me?","Hmm... What should I do? Hey, can you help me?"
PROPQUEST_SCENARIO_INC_000306,"I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to.",真的很感谢你啊~其实，最近有一件事情让我很烦恼，皮肤也变的很差..
PROPQUEST_SCENARIO_INC_000307,"I am studying recent history, but it is really hard. So would you please help me? Please?",我最近啊~在研究一个历史..可是好难喔..可以帮我一下吗?
PROPQUEST_SCENARIO_INC_000308,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.,哈哈哈，那请到管理所去申请研究费用，然后亲自把请款单拿去给市长吧。
PROPQUEST_SCENARIO_INC_000309,What? Awww I knew it was too good to be true.,哎唷~~好过份啊..看在我这么可爱的份上..帮我一次好吗?
PROPQUEST_SCENARIO_INC_000310,"Oh, it seems like Martinyc is too busy to deliver her own applications.",喔，玛缇雅克这么忙啊?既然叫你把请款单拿过来..好!我知道了，帮我告诉他，研究费用我会付支给他。
PROPQUEST_SCENARIO_INC_000311,May I help you? You want to fill out an application? The form is on the right side of the office.,有什么事吗?喔~你说你要填写请款单啊..请款单在管理所的后面..
PROPQUEST_SCENARIO_INC_000312,Go to the office and deliver a scholarship application to the Mayor.,请到管理所填写请款单的内容之后，把这个内容拿给市长看吧!
PROPQUEST_SCENARIO_INC_000314,Cracked Continent,大陆分裂的理由
PROPQUEST_SCENARIO_INC_000315,"Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted.",研究费用已经收到了!我发现一个很可疑的事情耶..我跟你说喔..关于瑞加大陆的历史纪录，好像不太对耶..
PROPQUEST_SCENARIO_INC_000316,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.,有很多可疑的地方呢..不知道为什么历史协会的人知道此事实也不会想去修改..所以我就自己调查了一下喔~
PROPQUEST_SCENARIO_INC_000317,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.,有一天，我差一点被杀了呢~~那时候我才知道，历史协会的人为什么不去修改了。可是，我绝对不会在这里放弃。
PROPQUEST_SCENARIO_INC_000318,"I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however.","I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however."
PROPQUEST_SCENARIO_INC_000319,Will you help me regardless of the danger?,这样你也会为了正义来帮我吗?
PROPQUEST_SCENARIO_INC_000320,"I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these.",果然，我没有看错人。首先3个大陆里，有古代的祭团。请帮我到各大陆的祭团，找5个岩石回来。
PROPQUEST_SCENARIO_INC_000321,Thanks for listening to me anyway. I understand if you are unwilling to risk your life.,嗯..你觉得不值得为这种事情牺牲生命啊..那就没办法了~我去找其他人来帮我好了!
PROPQUEST_SCENARIO_INC_000322,Hmm... This is exactly what I expected. I will study these some more but before you go please...,Hmm... This is exactly what I expected. I will study these some more but before you go please...
