Key,English,French
CLIENT_HELP_INC_000000,Basic Operations,Manuel du jeu
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,Cette section prend la suite du tutoriel de Pang. Elle contient des informations plus en détail concernant les mécaniques de jeu et certaines fonctionnalités uniques.
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,"Pour plus d'informations, visitez le site officiel de Flyff ($WEBSITE$), ou demandez de l'aide auprès des responsables de communauté ($WEBSITE$)."
CLIENT_HELP_INC_000003,Mouse,Souris
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.",Votre souris est l'un des principaux moyens d'interagir avec le jeu. Le Clic Gauche vous permet notamment de vous déplacer et de sélectionner une cible ou une option dans un menu. Le Clic Droit est principalement utilisé pour contrôler la caméra et pour ouvrir le menu d'interaction d'un PNJ sélectionné. Toutes ces fonctionnalités sont détaillées dans le menu Aide.
CLIENT_HELP_INC_000005,Movement,Se déplacer
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.","Vous pouvez vous déplacer au clavier, en utilisant les touches Z (avancer), S (reculer), Q (gauche), D (droite), ou utiliser simplement le Clic Gauche de la souris à l'endroit où vous souhaitez aller."
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.","Pour sauter, appuyez sur la barre d'espace. Vous pouvez sauter en étant à l'arrêt, mais également en vous déplaçant."
CLIENT_HELP_INC_000008,Camera,Contrôler la caméra
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.","Vous pouvez déplacer la caméra en utilisant la souris. La molette vous permet de zoomer/dézoomer, et le bouton droit (ou molette, selon votre choix dans les options) enfoncé sert à modifier l'angle de vue. Vous pouvez également verrouiller la caméra dans les Options. Tourner à gauche (Q) ou à droite (D) la fera alors tourner plutôt que votre personnage."
CLIENT_HELP_INC_000010,"Regardless of how you choose to manipulate the camera, the zoom functions will always be the same. You can Zoom in and out with the mouse wheel or the Page Up and Page Down keys. In order to zoom in even further, press the Scroll Lock Button.","La caméra peut également être contrôlée via les flèches directionnelles du clavier, les touches Page préc./Page suiv. (pour zoomer ou dézoomer) ou Arrêt défil. (zoom fixe)."
CLIENT_HELP_INC_000011,Flying,Voler
CLIENT_HELP_INC_000012,A character that has reached level 20 and has finished the flying quest can take advantage of flying with broom and boards.,"Une fois le niveau 20 atteint et la quête de vol terminée, vous pouvez voler sur votre propre balai ou planche volante !"
CLIENT_HELP_INC_000013,Station NPC's sell a variety of Brooms and Boards. If you feel like you would like to spice up your method of flying you can check the premium shop for faster and more unique items to fly on.,"Les PNJs [Station de vol] vendent divers balais et planches. Si vous souhaitez pimenter un peu votre vol, vous pouvez également accéder à la Boutique Premium. Elle contient des engins de vol uniques et/ou plus rapides tels que le Dragon Céleste ou le Tapis Magique."
CLIENT_HELP_INC_000014,,
CLIENT_HELP_INC_000015,,
CLIENT_HELP_INC_000016,,
CLIENT_HELP_INC_000017,,
CLIENT_HELP_INC_000018,,
CLIENT_HELP_INC_000019,How do I fly?,Comment voler ?
