Key,English,Simplified_Chinese
CLIENT_FAQ_INC_000000,How can I be resurrected?,死亡了如何复活？
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.",点击 [城镇之星] 即可复活在最近的城市中。如果你有复活卷轴，或者圣职者用技能捞你，你可以原地复活。
CLIENT_FAQ_INC_000002,Where are the monsters?,怪物分布在哪里？
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,怪物分布在地图各处，确定你打的怪物与你的实力相匹。
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,如何选定一个目标和取消选定？
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.",双击怪物即可攻击，单机目标则为选定，按下 [ESC] 即可取消锁定。
CLIENT_FAQ_INC_000006,How can I attack continuously?,如何连续攻击？
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,确保在选项窗口中勾选自动攻击的设置。
CLIENT_FAQ_INC_000008,How do you use the skills?,如何使用技能？
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,按 [K] 打开技能菜单，将技能拖入连续技能栏内即可。
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,如何连续使用技能？
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,将技能放置连续技能栏里，当选中目标按C键使用这些技能。移动形状像拼图块的技能需要把它们放置在一起。
CLIENT_FAQ_INC_000012,How do I gain my health back?,如何回血？
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,使用食物或者其他特定物品可以恢复血量，物品恢复血量的最大值会在物品上标注。
CLIENT_FAQ_INC_000014,How do I get a Job?,如何转职？
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.",当你15级时，到帕里镇茱莉娅那接取转职任务。战士和圣职者的转职在帕里镇，魔导士在晨光，弓箭手在达肯。
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,为什么我在15级之后就不增加经验了。
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.",当你达到15级之后你不能获得经验了，你必须完成一转任务才能再次获得经验。当你15级时去找职业训练师并完成你想完成的一转职业任务。
CLIENT_FAQ_INC_000018,,
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.",当你不能学习一个技能时，检查一下技能所需要求和你的等级。
CLIENT_FAQ_INC_000020,How do I fly?,我怎样才可以飞行？
CLIENT_FAQ_INC_000021,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.,当你达到20级你就可以从玩家或NPC购买滑板或者扫帚，然后双击装备即可飞行。
CLIENT_FAQ_INC_000022,How do I move the camera.,如何移动视角？
CLIENT_FAQ_INC_000023,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.,1.按住鼠标滚轮，然后移动。2.按住鼠标右键，四周移动。滑动滚轮可以缩放视野距离。
CLIENT_FAQ_INC_000024,How do I return to my default camera position?,如何回到默认视角？
CLIENT_FAQ_INC_000025,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.,双击鼠标滚轮或者双击鼠标右键。
CLIENT_FAQ_INC_000026,"While flying, the camera is hard to move.",飞行时，视角一般是固定的。
CLIENT_FAQ_INC_000027,"While flying, double click on the right mouse button or use the arrow keys",飞行时，可以双击鼠标右键打开光标
CLIENT_FAQ_INC_000028,How can I use Emoticons?,如何使用表情？
